id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,clearance,counterpress,interception,out,foul_won,off_camera,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble,block,foul_committed,ball_recovery,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events_2,dribble_overrun,related_events,pass_assisted_shot_id,pass_goal_assist,dribble_no_touch,shot_one_on_one,shot_open_goal,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate
238a6cb7-66bd-4bf3-9644-a79ed70f2a1b,3423,2,00:35:09.905,80,9,30,Pass,141,217,Barcelona,7,From Goal Kick,217,Barcelona,1.367964,,d29f91e6-46c8-4db1-91ef-00a9648c08e7,7068,Marc Bartra Aregall,3,Right Center Back,28.0,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,19.185932,1.3979357,1.0,Ground Pass,31.3,64.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d29f91e6-46c8-4db1-91ef-00a9648c08e7,3424,2,00:35:11.273,80,11,42,Ball Receipt*,141,217,Barcelona,7,From Goal Kick,217,Barcelona,,,238a6cb7-66bd-4bf3-9644-a79ed70f2a1b,4324,Daniel Alves da Silva,2,Right Back,31.3,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c9c1dfd-be25-4091-a912-da98255e9590,3425,2,00:35:11.273,80,11,43,Carry,141,217,Barcelona,7,From Goal Kick,217,Barcelona,1.899635,,30222dbd-8435-4143-b2de-5369684e2eaf,4324,Daniel Alves da Silva,2,Right Back,31.3,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d29f91e6-46c8-4db1-91ef-00a9648c08e7,31.3,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30222dbd-8435-4143-b2de-5369684e2eaf,3426,2,00:35:13.173,80,13,30,Pass,141,217,Barcelona,7,From Goal Kick,217,Barcelona,1.558601,,9baffa3c-684c-4d9e-a2d4-454629f862c9,4324,Daniel Alves da Silva,2,Right Back,31.3,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,6379.0,Sergi Roberto Carnicer,24.26376,-1.2216733,1.0,Ground Pass,39.6,41.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1b66f61-2a5e-4563-ae03-874b4c98a5b6,3427,2,00:35:13.320,80,13,17,Pressure,141,217,Barcelona,7,From Goal Kick,219,RC Deportivo La Coruña,0.517383,,,25997,Jonás Manuel Gutiérrez,16,Left Midfield,86.0,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9baffa3c-684c-4d9e-a2d4-454629f862c9,3428,2,00:35:14.731,80,14,42,Ball Receipt*,141,217,Barcelona,7,From Goal Kick,217,Barcelona,,,30222dbd-8435-4143-b2de-5369684e2eaf,6379,Sergi Roberto Carnicer,10,Center Defensive Midfield,39.6,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d65ae3a9-9d70-47f8-b48f-e7069c70bc84,3429,2,00:35:14.731,80,14,43,Carry,141,217,Barcelona,7,From Goal Kick,217,Barcelona,0.6287,,851459e9-f304-4f4e-8167-d469a9fd3325,6379,Sergi Roberto Carnicer,10,Center Defensive Midfield,39.6,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9baffa3c-684c-4d9e-a2d4-454629f862c9,39.0,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851459e9-f304-4f4e-8167-d469a9fd3325,3430,2,00:35:15.360,80,15,30,Pass,141,217,Barcelona,7,From Goal Kick,217,Barcelona,1.581067,,ce1e4c1c-30b7-42d5-9e99-ce61ebc0c36d,6379,Sergi Roberto Carnicer,10,Center Defensive Midfield,39.0,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,26.926752,0.19812389,1.0,Ground Pass,65.4,46.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce1e4c1c-30b7-42d5-9e99-ce61ebc0c36d,3431,2,00:35:16.941,80,16,42,Ball Receipt*,141,217,Barcelona,7,From Goal Kick,217,Barcelona,,,851459e9-f304-4f4e-8167-d469a9fd3325,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,65.4,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f72d68b2-901f-42b9-9869-5b5e3a3262d5,3432,2,00:35:16.941,80,16,43,Carry,141,217,Barcelona,7,From Goal Kick,217,Barcelona,1.396433,,01143ce7-2442-456d-9219-60f616ccb4af,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,65.4,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce1e4c1c-30b7-42d5-9e99-ce61ebc0c36d,79.9,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
