id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,ball_recovery,interception,duel,dribble,shot,goalkeeper,off_camera,out,clearance,foul_committed,foul_won,block,substitution,miscontrol,injury_stoppage,pass,related_events,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,block_offensive,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,related_events_3,duel_outcome_id,duel_outcome_name,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name
1f1a2755-832e-47af-8372-eac1d84dc9f6,673,1,00:15:37.968,15,37,43,Carry,37,217,Barcelona,1,Regular Play,217,Barcelona,1.75047,,e654c9e1-c689-4f37-904f-28a4c42d7f36,5211,Jordi Alba Ramos,6,Left Back,52.3,19.4,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,e9d8bfbc-5442-4080-ab7c-eb77ced7a89a,49.9,26.2,f73aa8b8-c41a-4f03-ab24-df0044f9098c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e654c9e1-c689-4f37-904f-28a4c42d7f36,674,1,00:15:39.321,15,39,17,Pressure,37,217,Barcelona,1,Regular Play,360,Rayo Vallecano,0.499976,,1f1a2755-832e-47af-8372-eac1d84dc9f6,9246,Patrick Ebert,19,Center Attacking Midfield,74.5,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f73aa8b8-c41a-4f03-ab24-df0044f9098c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f73aa8b8-c41a-4f03-ab24-df0044f9098c,675,1,00:15:39.718,15,39,30,Pass,37,217,Barcelona,1,Regular Play,217,Barcelona,1.455515,,554c2b95-073a-4a0e-8f71-144d1c2615c7,5211,Jordi Alba Ramos,6,Left Back,49.9,26.2,5213.0,Gerard Piqué Bernabéu,14.569145,2.3367794,1.0,Ground Pass,39.8,36.7,38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,,,,e654c9e1-c689-4f37-904f-28a4c42d7f36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554c2b95-073a-4a0e-8f71-144d1c2615c7,676,1,00:15:41.174,15,41,42,Ball Receipt*,37,217,Barcelona,1,Regular Play,217,Barcelona,,,f73aa8b8-c41a-4f03-ab24-df0044f9098c,5213,Gerard Piqué Bernabéu,3,Right Center Back,39.8,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e15a7fc-0cbf-4989-acbd-2ea2e4f5787b,677,1,00:15:41.174,15,41,43,Carry,37,217,Barcelona,1,Regular Play,217,Barcelona,1.725595,,554c2b95-073a-4a0e-8f71-144d1c2615c7,5213,Gerard Piqué Bernabéu,3,Right Center Back,39.8,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61c4e4e8-22da-44f2-a5c4-c28f21bdd5dd,42.8,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61c4e4e8-22da-44f2-a5c4-c28f21bdd5dd,678,1,00:15:42.899,15,42,30,Pass,37,217,Barcelona,1,Regular Play,217,Barcelona,3.060192,,eb6c14ac-4777-430b-a294-db7d50ae311a,5213,Gerard Piqué Bernabéu,3,Right Center Back,42.8,36.5,4320.0,Neymar da Silva Santos Junior,51.135212,-0.32855317,3.0,High Pass,91.2,20.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,108.0,Through Ball,,,,,,,,,,,,,,,,,,,,,,,,,
eb6c14ac-4777-430b-a294-db7d50ae311a,679,1,00:15:45.960,15,45,42,Ball Receipt*,37,217,Barcelona,1,Regular Play,217,Barcelona,,,61c4e4e8-22da-44f2-a5c4-c28f21bdd5dd,4320,Neymar da Silva Santos Junior,21,Left Wing,91.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429b2097-d878-4e8b-9828-e7ca9d51aff5,680,1,00:15:45.960,15,45,43,Carry,37,217,Barcelona,1,Regular Play,217,Barcelona,0.034278,,cc21c19c-8812-4c93-8180-1e30d46539e6,4320,Neymar da Silva Santos Junior,21,Left Wing,91.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eb6c14ac-4777-430b-a294-db7d50ae311a,91.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc21c19c-8812-4c93-8180-1e30d46539e6,681,1,00:15:45.994,15,45,38,Miscontrol,37,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,4320,Neymar da Silva Santos Junior,21,Left Wing,91.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faef84a4-43b4-4505-8c3a-2c47d371264e,682,1,00:15:46.980,15,46,17,Pressure,37,217,Barcelona,1,Regular Play,217,Barcelona,0.954307,,13e6100d-6e8d-4c40-a05d-134b486bc7cc,4320,Neymar da Silva Santos Junior,21,Left Wing,96.5,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a724664c-f9b1-4abe-ba5e-21280cde7ab2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
