id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,miscontrol,counterpress,interception,clearance,dribble,foul_committed,foul_won,out,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,ball_recovery,block,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,goalkeeper,related_events_1,pass_outcome_id,pass_outcome_name,pass_body_part_id,pass_body_part_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,related_events,related_events_2,carry_end_location_0,carry_end_location_1,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_left_foot,pass_aerial_won,related_events_3,pass_technique_id,pass_technique_name,pass_through_ball,pass_cross,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,pass_switch,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_card_id,foul_committed_card_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,block_save_block,goalkeeper_end_location_0,goalkeeper_end_location_1,shot_open_goal,shot_end_location_2,shot_first_time
55f16a28-d194-4689-afd3-20a75c13d692,2368,2,00:15:56.108,60,56,42,Ball Receipt*,121,217,Barcelona,4,From Throw In,217,Barcelona,,,a72912a4-7743-4aa0-8475-3de315d41470,5246,Luis Alberto Suárez Díaz,23,Center Forward,105.5,15.2,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b367b0ae-1d39-4fcc-92c7-20f71207efa9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c44a6f1e-31b0-4137-829d-bf9a7b7d1f3c,2369,2,00:15:56.108,60,56,30,Pass,121,217,Barcelona,4,From Throw In,217,Barcelona,1.0964,,912cc486-4693-469f-9f6e-42f257a6226e,5246,Luis Alberto Suárez Díaz,23,Center Forward,105.9,15.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,10.1493845,1.6694846,3.0,High Pass,104.9,25.1,,,,9ae5d9c1-a561-4b9a-bada-065497f15187,9.0,Incomplete,40.0,Right Foot,,,,,,,,,,a72912a4-7743-4aa0-8475-3de315d41470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912cc486-4693-469f-9f6e-42f257a6226e,2370,2,00:15:57.204,60,57,42,Ball Receipt*,121,217,Barcelona,4,From Throw In,217,Barcelona,,,c44a6f1e-31b0-4137-829d-bf9a7b7d1f3c,4320,Neymar da Silva Santos Junior,21,Left Wing,100.9,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ae5d9c1-a561-4b9a-bada-065497f15187,2371,2,00:15:57.204,60,57,9,Clearance,121,217,Barcelona,4,From Throw In,209,Celta Vigo,0.0,,c44a6f1e-31b0-4137-829d-bf9a7b7d1f3c,6802,Jonathan Castro Otto,5,Left Center Back,15.2,55.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,Head,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32bc120a-bc35-4fed-be19-229465985164,2372,2,00:15:57.867,60,57,17,Pressure,121,217,Barcelona,4,From Throw In,217,Barcelona,0.519094,,aca7208f-1753-4c78-9d22-c6922a63627f,5216,Andrés Iniesta Luján,15,Left Center Midfield,92.7,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aca7208f-1753-4c78-9d22-c6922a63627f,2373,2,00:15:58.076,60,58,9,Clearance,121,217,Barcelona,4,From Throw In,209,Celta Vigo,0.0,,32bc120a-bc35-4fed-be19-229465985164,6796,Nemanja Radoja,10,Center Defensive Midfield,26.8,58.1,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,Left Foot,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8fb6338-9a16-4c96-a821-055cee11ba06,2374,2,00:15:59.620,60,59,30,Pass,121,217,Barcelona,4,From Throw In,217,Barcelona,1.6223,,b8d5ca1c-7dd6-4d4b-94f9-5b55bef4c8a4,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,81.3,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,21.924644,-0.2914568,1.0,Ground Pass,102.3,12.7,66.0,Recovery,,,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8d5ca1c-7dd6-4d4b-94f9-5b55bef4c8a4,2375,2,00:16:01.242,61,1,42,Ball Receipt*,121,217,Barcelona,4,From Throw In,217,Barcelona,,,d8fb6338-9a16-4c96-a821-055cee11ba06,5246,Luis Alberto Suárez Díaz,23,Center Forward,102.3,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3eb5268-be05-4040-b1e9-c8951a49f467,2376,2,00:16:01.242,61,1,43,Carry,121,217,Barcelona,4,From Throw In,217,Barcelona,0.8608,,a7b8ffab-def8-4a42-af36-445c50f7d2e0,5246,Luis Alberto Suárez Díaz,23,Center Forward,102.3,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b8d5ca1c-7dd6-4d4b-94f9-5b55bef4c8a4,,,,,,,,,,,,,,,103.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7b8ffab-def8-4a42-af36-445c50f7d2e0,2377,2,00:16:02.103,61,2,30,Pass,121,217,Barcelona,4,From Throw In,217,Barcelona,2.1527,,62c221a3-7e3c-49ec-b9fe-ed7727ade8f5,5246,Luis Alberto Suárez Díaz,23,Center Forward,103.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.997812,1.6490064,1.0,Ground Pass,100.5,45.9,,,,,9.0,Incomplete,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
