id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,out,duel,clearance,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,counterpress,foul_committed,foul_won,dribble,off_camera,interception,ball_recovery,miscontrol,substitution,block,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_3,pass_switch,pass_type_id,pass_type_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_goal_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate
03f01741-92ff-47bb-b473-2461bb88d21d,1414,1,00:33:23.911,33,23,42,Ball Receipt*,57,217,Barcelona,3,From Free Kick,217,Barcelona,,,23aa80f9-545e-4607-90b4-51c10397ffb1,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,25.1,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaa02321-c56c-4227-b567-fc16b3d28f3f,1415,1,00:33:23.911,33,23,43,Carry,57,217,Barcelona,3,From Free Kick,217,Barcelona,0.855822,,03f01741-92ff-47bb-b473-2461bb88d21d,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,25.1,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,67595b39-ff38-42c0-ace1-10dd0d6a899b,,25.0,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67595b39-ff38-42c0-ace1-10dd0d6a899b,1416,1,00:33:24.767,33,24,30,Pass,57,217,Barcelona,3,From Free Kick,217,Barcelona,1.8679,,328bed61-0a3b-46ef-b1e1-e865e398b87c,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,25.0,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.0,Gerard Piqué Bernabéu,27.312452,1.6956054,1.0,Ground Pass,21.6,58.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328bed61-0a3b-46ef-b1e1-e865e398b87c,1417,1,00:33:26.635,33,26,42,Ball Receipt*,57,217,Barcelona,3,From Free Kick,217,Barcelona,,,67595b39-ff38-42c0-ace1-10dd0d6a899b,5213,Gerard Piqué Bernabéu,3,Right Center Back,21.6,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e9802bb-bb09-4141-bbf3-9f6da8f0fb68,1418,1,00:33:26.635,33,26,43,Carry,57,217,Barcelona,3,From Free Kick,217,Barcelona,0.6157,,328bed61-0a3b-46ef-b1e1-e865e398b87c,5213,Gerard Piqué Bernabéu,3,Right Center Back,21.6,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,f58dc89a-005f-4ec6-9b4d-15272d4ac8b8,,21.6,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f58dc89a-005f-4ec6-9b4d-15272d4ac8b8,1419,1,00:33:27.250,33,27,30,Pass,57,217,Barcelona,3,From Free Kick,217,Barcelona,1.4363,,24e0eb70-9b4e-4bee-97b8-330abf6cebcb,5213,Gerard Piqué Bernabéu,3,Right Center Back,21.6,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,22.257584,0.8553476,1.0,Ground Pass,36.2,75.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24e0eb70-9b4e-4bee-97b8-330abf6cebcb,1420,1,00:33:28.687,33,28,42,Ball Receipt*,57,217,Barcelona,3,From Free Kick,217,Barcelona,,,f58dc89a-005f-4ec6-9b4d-15272d4ac8b8,4324,Daniel Alves da Silva,2,Right Back,36.2,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d989c4d-74b5-43b6-8c81-cd28a6427226,1421,1,00:33:28.687,33,28,43,Carry,57,217,Barcelona,3,From Free Kick,217,Barcelona,2.9557,,24e0eb70-9b4e-4bee-97b8-330abf6cebcb,4324,Daniel Alves da Silva,2,Right Back,36.2,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,480fcbec-a438-47e6-8591-783065231a58,,36.2,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480fcbec-a438-47e6-8591-783065231a58,1422,1,00:33:31.642,33,31,30,Pass,57,217,Barcelona,3,From Free Kick,217,Barcelona,0.9828,,5c0eea52-b90f-45db-bee1-70c2b0992e6e,4324,Daniel Alves da Silva,2,Right Back,36.2,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,8.695401,-1.0402384,1.0,Ground Pass,40.6,67.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c0eea52-b90f-45db-bee1-70c2b0992e6e,1423,1,00:33:32.625,33,32,42,Ball Receipt*,57,217,Barcelona,3,From Free Kick,217,Barcelona,,,480fcbec-a438-47e6-8591-783065231a58,5470,Ivan Rakitić,13,Right Center Midfield,40.6,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
