id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,out,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance,ball_recovery,counterpress,dribble,duel,interception,off_camera,foul_won,foul_committed,block,substitution,miscontrol,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name
a5bd86bd-6313-41dc-8882-2d20d8cebf35,267,1,00:05:44.481,5,44,23,Goal Keeper,14,217,Barcelona,1,Regular Play,208,Las Palmas,0.0,,c44c909f-5151-41d0-b69e-cbe165b2ec0d,26753,Javier Varas Herrera,1,Goalkeeper,4.7,37.2,,,,,,,42.0,Moving,45.0,Diving,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7b6e323-c159-4a17-90f8-41e533c663e1,271,1,00:06:47.622,6,47,30,Pass,16,217,Barcelona,1,Regular Play,217,Barcelona,0.965607,,ab2260da-ae86-4394-af84-d91aa72ff05a,10609,Jérémy Mathieu,5,Left Center Back,48.6,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,c4f2f881-7566-45f2-ae51-8effcf2293d1,5216.0,Andrés Iniesta Luján,17.102047,-0.1882215,2.0,Low Pass,65.4,18.0,38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,
c4f2f881-7566-45f2-ae51-8effcf2293d1,272,1,00:06:48.588,6,48,42,Ball Receipt*,16,217,Barcelona,1,Regular Play,217,Barcelona,,,d7b6e323-c159-4a17-90f8-41e533c663e1,5216,Andrés Iniesta Luján,15,Left Center Midfield,65.4,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4fd310cb-00ce-4be2-9647-e5b3688265e7,273,1,00:06:48.588,6,48,43,Carry,16,217,Barcelona,1,Regular Play,217,Barcelona,1.359993,,37a06ea4-410b-430a-9e16-14a386541109,5216,Andrés Iniesta Luján,15,Left Center Midfield,65.4,18.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,968f586f-3bda-4b13-99bc-a3c778becf1d,,,,,,,,,,,,,,c4f2f881-7566-45f2-ae51-8effcf2293d1,66.5,16.8,,,,,,,,
968f586f-3bda-4b13-99bc-a3c778becf1d,274,1,00:06:48.890,6,48,17,Pressure,16,217,Barcelona,1,Regular Play,208,Las Palmas,1.183607,,37a06ea4-410b-430a-9e16-14a386541109,6928,Pedro Taunausú Domínguez Placeres,13,Right Center Midfield,58.1,62.6,,,,,,,,,,,,,,,,,True,,,,,,,,,,4fd310cb-00ce-4be2-9647-e5b3688265e7,,,,,,,,,,,,,,,,,,,,,,,,
37a06ea4-410b-430a-9e16-14a386541109,275,1,00:06:49.948,6,49,30,Pass,16,217,Barcelona,1,Regular Play,217,Barcelona,0.9792,,968f586f-3bda-4b13-99bc-a3c778becf1d,5216,Andrés Iniesta Luján,15,Left Center Midfield,66.5,16.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,d2666f92-d28e-4563-b6d9-a779fe163d51,4320.0,Neymar da Silva Santos Junior,13.943099,-1.0365268,1.0,Ground Pass,73.6,4.8,40.0,Right Foot,,,,,,,,,,,,,,
d2666f92-d28e-4563-b6d9-a779fe163d51,276,1,00:06:50.927,6,50,42,Ball Receipt*,16,217,Barcelona,1,Regular Play,217,Barcelona,,,37a06ea4-410b-430a-9e16-14a386541109,4320,Neymar da Silva Santos Junior,21,Left Wing,73.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3a1277c-7d35-4e9c-a4ac-0837d86f9647,277,1,00:06:50.927,6,50,43,Carry,16,217,Barcelona,1,Regular Play,217,Barcelona,2.8,,22d0a425-34f2-4e47-8e17-21c27ae2e1ce,4320,Neymar da Silva Santos Junior,21,Left Wing,73.6,4.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,2b2d09be-d235-4655-a503-b1cf6942cde4,,,,,,,,,,,,,,d2666f92-d28e-4563-b6d9-a779fe163d51,85.6,12.8,,,,,,,,
22d0a425-34f2-4e47-8e17-21c27ae2e1ce,278,1,00:06:53.316,6,53,17,Pressure,16,217,Barcelona,1,Regular Play,208,Las Palmas,0.572748,,2b2d09be-d235-4655-a503-b1cf6942cde4,3610,Roque Mesa Quevedo,10,Center Defensive Midfield,34.8,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,a3a1277c-7d35-4e9c-a4ac-0837d86f9647,,,,,,,,,,,,,,,,,,,,,,,,
2b2d09be-d235-4655-a503-b1cf6942cde4,279,1,00:06:53.727,6,53,30,Pass,16,217,Barcelona,1,Regular Play,217,Barcelona,1.3076,,22d0a425-34f2-4e47-8e17-21c27ae2e1ce,4320,Neymar da Silva Santos Junior,21,Left Wing,85.6,12.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,24ffb726-dba8-43a7-927f-839525e9ddd5,5246.0,Luis Alberto Suárez Díaz,22.424316,1.2673794,1.0,Ground Pass,92.3,34.2,40.0,Right Foot,,,,c83365cb-fbb9-479b-ae19-8d27573f9249,,,9.0,Incomplete,,,,,,
