id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,carry,ball_receipt,interception,dribble,duel,counterpress,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance,miscontrol,out,foul_committed,foul_won,ball_recovery,block,substitution,bad_behaviour,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_switch,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,related_events,player,position,location
03eee54e-5654-477e-be37-223e08e14bd5,3490,2,00:44:27.546,89,27,42,Ball Receipt*,149,217,Barcelona,7,From Goal Kick,217,Barcelona,,,1390f756-794b-4282-91f6-891b05d30630,,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,95.0,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79dd97cb-aeab-4707-98b3-4ff93def3c74,3491,2,00:44:27.546,89,27,30,Pass,149,217,Barcelona,7,From Goal Kick,217,Barcelona,1.587837,,49f996ac-ede1-43c4-9505-75ef1e886dca,,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,95.0,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,23.977072,-0.39832014,3.0,High Pass,117.1,25.5,38.0,Left Foot,,,,,,,,,,,,,,,,,,,
28bf6a9b-9dc9-4fba-83b8-cdd9fbfd3f71,3492,2,00:44:28.970,89,28,17,Pressure,149,217,Barcelona,7,From Goal Kick,1041,Sporting Gijón,4.383735,,3518ce46-dbdf-4150-afee-d948a2180cd4,,6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,6.8,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49f996ac-ede1-43c4-9505-75ef1e886dca,,,,,,,,,,,,,,,
49f996ac-ede1-43c4-9505-75ef1e886dca,3493,2,00:44:29.133,89,29,42,Ball Receipt*,149,217,Barcelona,7,From Goal Kick,217,Barcelona,,,28bf6a9b-9dc9-4fba-83b8-cdd9fbfd3f71,,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,117.1,25.5,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79dd97cb-aeab-4707-98b3-4ff93def3c74,,,,,,,,,,,,,,,
3518ce46-dbdf-4150-afee-d948a2180cd4,3494,2,00:44:29.133,89,29,43,Carry,149,217,Barcelona,7,From Goal Kick,217,Barcelona,7.938963,,28bf6a9b-9dc9-4fba-83b8-cdd9fbfd3f71,,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,117.1,25.5,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49f996ac-ede1-43c4-9505-75ef1e886dca,104.2,14.0,,6a7d22e6-c676-414f-bdf3-3e2828eb529a,,,,,,,,,,,
6a7d22e6-c676-414f-bdf3-3e2828eb529a,3495,2,00:44:37.072,89,37,30,Pass,149,217,Barcelona,7,From Goal Kick,217,Barcelona,1.301456,,432cbc61-74ee-4f7e-875a-4555b437a819,,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,104.2,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,15.316005,1.5250766,1.0,Ground Pass,104.9,29.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,
432cbc61-74ee-4f7e-875a-4555b437a819,3496,2,00:44:38.374,89,38,42,Ball Receipt*,149,217,Barcelona,7,From Goal Kick,217,Barcelona,,,6a7d22e6-c676-414f-bdf3-3e2828eb529a,,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,104.9,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a21b8a15-bfbf-48ae-ad4b-ba3718370aa2,3497,2,00:44:38.374,89,38,43,Carry,149,217,Barcelona,7,From Goal Kick,217,Barcelona,0.428044,,0f8de763-a547-4608-922f-a986e044a0f0,,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,104.9,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432cbc61-74ee-4f7e-875a-4555b437a819,105.9,29.9,,,,,,,,,,,,,
0f8de763-a547-4608-922f-a986e044a0f0,3498,2,00:44:38.802,89,38,30,Pass,149,217,Barcelona,7,From Goal Kick,217,Barcelona,0.801694,,5f7627cd-c1f3-4849-9d6b-62ab833e0679,,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,105.9,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,7.0213957,2.9553697,1.0,Ground Pass,99.0,31.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,
5f7627cd-c1f3-4849-9d6b-62ab833e0679,3499,2,00:44:39.603,89,39,42,Ball Receipt*,149,217,Barcelona,7,From Goal Kick,217,Barcelona,,,0f8de763-a547-4608-922f-a986e044a0f0,,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,99.0,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
