id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,out,ball_receipt,off_camera,duel,clearance,counterpress,dribble,foul_committed,foul_won,interception,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,block,ball_recovery,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,goalkeeper,related_events_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,carry_end_location_0,carry_end_location_1,pass_no_touch,dribble_outcome_id,dribble_outcome_name,related_events_2,related_events_3,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,related_events,clearance_head,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,player,position,location
1574b867-d0f4-4111-841c-17a97411a796,3202,2,00:44:54.511,89,54,42,Ball Receipt*,182,217,Barcelona,7,From Goal Kick,217,Barcelona,,,8096cb22-2a3b-44c7-af45-4d10dd00eca0,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,108.3,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,
01748d9d-5bce-47bb-91d3-70f268a05040,3203,2,00:44:54.511,89,54,9,Clearance,182,217,Barcelona,7,From Goal Kick,360,Rayo Vallecano,0.0,,8096cb22-2a3b-44c7-af45-4d10dd00eca0,24138.0,Joaquín José Marín Ruiz,2.0,Right Back,11.8,47.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,Head,,,True,,,,,,,
ad7ecc0c-ee69-4f84-b828-d1fdbc71ce90,3204,2,00:44:56.474,89,56,2,Ball Recovery,182,217,Barcelona,7,From Goal Kick,217,Barcelona,0.0,,,11094.0,Arda Turan,15.0,Left Center Midfield,104.6,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eacd7dc9-d1fc-4241-ab47-ef4d45b87cc7,3205,2,00:44:56.474,89,56,43,Carry,182,217,Barcelona,7,From Goal Kick,217,Barcelona,2.881329,,8bc74dc6-256f-41d0-8a9f-79cd38bf3a75,11094.0,Arda Turan,15.0,Left Center Midfield,104.6,30.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9d74d3c6-6d56-4495-9ec6-185575543a2b,,,,,,,96.8,36.7,,,,ad7ecc0c-ee69-4f84-b828-d1fdbc71ce90,,,,,,,,,,,,,
8bc74dc6-256f-41d0-8a9f-79cd38bf3a75,3206,2,00:44:57.446,89,57,17,Pressure,182,217,Barcelona,7,From Goal Kick,360,Rayo Vallecano,0.2853,,eacd7dc9-d1fc-4241-ab47-ef4d45b87cc7,24782.0,Jonhatan Montiel Caballero,19.0,Center Attacking Midfield,17.6,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c8b9d47-fa5b-45c6-ad93-58f6e6c8649c,3207,2,00:44:59.355,89,59,39,Dribbled Past,182,217,Barcelona,7,From Goal Kick,360,Rayo Vallecano,0.0,,9d74d3c6-6d56-4495-9ec6-185575543a2b,26848.0,Roberto Trashorras Gayoso,15.0,Left Center Midfield,23.3,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c6579a8f-f3bc-4f60-907b-735b140f9e21,,,,,,,,,,,,,,,,,,,,,,,,,
9d74d3c6-6d56-4495-9ec6-185575543a2b,3208,2,00:44:59.355,89,59,14,Dribble,182,217,Barcelona,7,From Goal Kick,217,Barcelona,0.0,,9c8b9d47-fa5b-45c6-ad93-58f6e6c8649c,11094.0,Arda Turan,15.0,Left Center Midfield,96.8,36.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,
c6579a8f-f3bc-4f60-907b-735b140f9e21,3209,2,00:44:59.355,89,59,43,Carry,182,217,Barcelona,7,From Goal Kick,217,Barcelona,0.21468,,9c8b9d47-fa5b-45c6-ad93-58f6e6c8649c,11094.0,Arda Turan,15.0,Left Center Midfield,96.8,36.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9d74d3c6-6d56-4495-9ec6-185575543a2b,,,,,,,95.1,37.3,,,,be0484ff-4c84-48c4-aa15-e2db17921bce,,,,,,,,,,,,,
be0484ff-4c84-48c4-aa15-e2db17921bce,3210,2,00:44:59.570,89,59,3,Dispossessed,182,217,Barcelona,7,From Goal Kick,217,Barcelona,0.0,,718b78a5-d02c-44d7-ad3f-fb1be722638f,11094.0,Arda Turan,15.0,Left Center Midfield,95.1,37.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718b78a5-d02c-44d7-ad3f-fb1be722638f,3211,2,00:44:59.570,89,59,4,Duel,182,217,Barcelona,7,From Goal Kick,360,Rayo Vallecano,0.0,,be0484ff-4c84-48c4-aa15-e2db17921bce,27144.0,Antonio Amaya Carazo,3.0,Right Center Back,25.0,42.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,13.0,Lost In Play,,,
8ac98227-1255-4dd4-9ccf-217dc3aa6815,3212,2,00:44:59.672,89,59,17,Pressure,182,217,Barcelona,7,From Goal Kick,360,Rayo Vallecano,1.255865,,,27144.0,Antonio Amaya Carazo,3.0,Right Center Back,25.6,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b2683cc-f47b-47c6-9c9c-024775cf2271,3213,2,00:45:01.342,90,1,2,Ball Recovery,182,217,Barcelona,7,From Goal Kick,217,Barcelona,0.0,,,5216.0,Andrés Iniesta Luján,13.0,Right Center Midfield,85.2,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52a81b1e-d58c-4280-b4ad-bac3bfb9b59a,3214,2,00:45:01.342,90,1,43,Carry,182,217,Barcelona,7,From Goal Kick,217,Barcelona,2.012,,50afa159-adb5-4372-8060-be7ea9518b7c,5216.0,Andrés Iniesta Luján,13.0,Right Center Midfield,85.2,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9b2683cc-f47b-47c6-9c9c-024775cf2271,,,,,,,89.6,35.9,,,,,,,,,,,,,,,,,
50afa159-adb5-4372-8060-be7ea9518b7c,3215,2,00:45:03.354,90,3,30,Pass,182,217,Barcelona,7,From Goal Kick,217,Barcelona,0.045074,,1a908994-596e-4df4-8c77-04ccb1f94bdc,5216.0,Andrés Iniesta Luján,13.0,Right Center Midfield,89.6,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094.0,Arda Turan,3.0870697,-0.4346702,1.0,Ground Pass,92.4,34.6,40.0,Right Foot,,e7fc0f5b-b8be-4e2d-865c-10022dc86e48,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,
1a908994-596e-4df4-8c77-04ccb1f94bdc,3216,2,00:45:03.399,90,3,42,Ball Receipt*,182,217,Barcelona,7,From Goal Kick,217,Barcelona,,,50afa159-adb5-4372-8060-be7ea9518b7c,11094.0,Arda Turan,15.0,Left Center Midfield,96.4,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,
e7fc0f5b-b8be-4e2d-865c-10022dc86e48,3217,2,00:45:03.399,90,3,6,Block,182,217,Barcelona,7,From Goal Kick,360,Rayo Vallecano,0.0,,50afa159-adb5-4372-8060-be7ea9518b7c,26848.0,Roberto Trashorras Gayoso,15.0,Left Center Midfield,27.7,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595ff8f0-74ab-4eef-8eb1-126a69c58057,3218,2,00:45:05.370,90,5,17,Pressure,182,217,Barcelona,7,From Goal Kick,360,Rayo Vallecano,0.524375,,dd68f451-6f76-4967-8afd-3b79b47e2a6f,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,39.9,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd68f451-6f76-4967-8afd-3b79b47e2a6f,3219,2,00:45:05.769,90,5,30,Pass,182,217,Barcelona,7,From Goal Kick,217,Barcelona,1.9454,,595ff8f0-74ab-4eef-8eb1-126a69c58057,6400.0,Aleix Vidal Parreu,2.0,Right Back,80.6,46.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,6332.0,Thomas Vermaelen,10.589146,2.2558613,2.0,Low Pass,73.9,54.6,40.0,Right Foot,,,,,,,66.0,Recovery,,,,,,,,,,,,,,,,,,,
957217d7-380f-4902-80bc-1d1a6426f22f,3220,2,00:45:18.518,90,18,34,Half End,182,217,Barcelona,7,From Goal Kick,360,Rayo Vallecano,0.0,,7e141b5e-bdbd-48a5-a18e-6717ca8e6e92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e141b5e-bdbd-48a5-a18e-6717ca8e6e92,3221,2,00:45:18.518,90,18,34,Half End,182,217,Barcelona,7,From Goal Kick,217,Barcelona,0.0,,957217d7-380f-4902-80bc-1d1a6426f22f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
