id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,duel,carry,ball_receipt,interception,counterpress,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble,clearance,out,miscontrol,foul_committed,foul_won,shot,ball_recovery,block,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,goalkeeper,related_events,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,related_events_1,carry_end_location_0,carry_end_location_1,pass_switch,pass_body_part_id,pass_body_part_name,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name
890af4f9-6f2a-419d-a275-5adbef7dddf7,2676,2,00:18:59.656,63,59,30,Pass,141,217,Barcelona,1,Regular Play,217,Barcelona,1.905818,,187dbe0c-5b28-4a07-8050-a04719dc59ee,,5506,Javier Alejandro Mascherano,5,Left Center Back,51.6,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,36.79837,1.4235189,1.0,Ground Pass,57.0,66.1,,,,,,,,,,,,,,40.0,Right Foot,,,,,
187dbe0c-5b28-4a07-8050-a04719dc59ee,2677,2,00:19:01.562,64,1,42,Ball Receipt*,141,217,Barcelona,1,Regular Play,217,Barcelona,,,890af4f9-6f2a-419d-a275-5adbef7dddf7,,5470,Ivan Rakitić,9,Right Defensive Midfield,57.0,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ec7f856-baf0-4072-8493-28a9dacfafdc,2678,2,00:19:01.562,64,1,43,Carry,141,217,Barcelona,1,Regular Play,217,Barcelona,1.952855,,187dbe0c-5b28-4a07-8050-a04719dc59ee,,5470,Ivan Rakitić,9,Right Defensive Midfield,57.0,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d7e1067e-660f-49e4-b4e8-66d199b189f2,59.4,72.1,,,,,,,,
d7e1067e-660f-49e4-b4e8-66d199b189f2,2679,2,00:19:03.515,64,3,30,Pass,141,217,Barcelona,1,Regular Play,217,Barcelona,1.116355,,391775ae-f65c-4b4d-8741-1621095e67ef,,5470,Ivan Rakitić,9,Right Defensive Midfield,59.4,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,12.3858795,0.38050637,1.0,Ground Pass,70.9,76.7,,,,,,,,,,,,,,40.0,Right Foot,,,,,
391775ae-f65c-4b4d-8741-1621095e67ef,2680,2,00:19:04.631,64,4,42,Ball Receipt*,141,217,Barcelona,1,Regular Play,217,Barcelona,,,d7e1067e-660f-49e4-b4e8-66d199b189f2,,4324,Daniel Alves da Silva,2,Right Back,70.9,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618cc1c1-f646-4fb4-815d-7e1211f23fe5,2681,2,00:19:04.631,64,4,43,Carry,141,217,Barcelona,1,Regular Play,217,Barcelona,2.512545,,391775ae-f65c-4b4d-8741-1621095e67ef,,4324,Daniel Alves da Silva,2,Right Back,70.9,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41a02dd9-2ab7-4ff0-be29-7319676d3591,77.2,75.7,,,,,,,,
41a02dd9-2ab7-4ff0-be29-7319676d3591,2682,2,00:19:07.144,64,7,30,Pass,141,217,Barcelona,1,Regular Play,217,Barcelona,0.984354,,2fefbeed-5f86-4cee-bfa1-45309311b660,,4324,Daniel Alves da Silva,2,Right Back,77.2,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,6616.0,Munir El Haddadi Mohamed,5.3712196,0.42200503,1.0,Ground Pass,82.1,77.9,,,,,,,,,,,,,,40.0,Right Foot,,,,,
a65ea9b4-1c03-4a01-bbef-92e0979780bb,2683,2,00:19:07.667,64,7,17,Pressure,141,217,Barcelona,1,Regular Play,221,Levante UD,1.414657,,2fefbeed-5f86-4cee-bfa1-45309311b660,,6784,Antonio García Aranda,8,Left Wing Back,33.4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884db9f2-49c8-4bd5-8343-72161b659f22,,,,,,d23e996c-190f-4e66-b29b-1e587b1d7712,,,,
2fefbeed-5f86-4cee-bfa1-45309311b660,2684,2,00:19:08.128,64,8,42,Ball Receipt*,141,217,Barcelona,1,Regular Play,217,Barcelona,,,41a02dd9-2ab7-4ff0-be29-7319676d3591,,6616,Munir El Haddadi Mohamed,17,Right Wing,82.1,77.9,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a65ea9b4-1c03-4a01-bbef-92e0979780bb,,,,,,,,,,
d23e996c-190f-4e66-b29b-1e587b1d7712,2685,2,00:19:08.128,64,8,43,Carry,141,217,Barcelona,1,Regular Play,217,Barcelona,0.446046,,2fefbeed-5f86-4cee-bfa1-45309311b660,,6616,Munir El Haddadi Mohamed,17,Right Wing,82.1,77.9,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884db9f2-49c8-4bd5-8343-72161b659f22,79.1,78.0,,,,a65ea9b4-1c03-4a01-bbef-92e0979780bb,,,,
884db9f2-49c8-4bd5-8343-72161b659f22,2686,2,00:19:08.574,64,8,30,Pass,141,217,Barcelona,1,Regular Play,217,Barcelona,1.334558,,a65ea9b4-1c03-4a01-bbef-92e0979780bb,,6616,Munir El Haddadi Mohamed,17,Right Wing,79.1,78.0,,True,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,16.546904,-3.0082424,1.0,Ground Pass,62.7,75.8,,,,,,,,,,b0a62de8-6646-4536-9e3e-fe22f1c83e66,,,,38.0,Left Foot,,,,,
b0a62de8-6646-4536-9e3e-fe22f1c83e66,2687,2,00:19:09.909,64,9,42,Ball Receipt*,141,217,Barcelona,1,Regular Play,217,Barcelona,,,884db9f2-49c8-4bd5-8343-72161b659f22,,5470,Ivan Rakitić,9,Right Defensive Midfield,62.7,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5571a276-6871-4b2c-b2fb-aaa81b17c3b4,2688,2,00:19:09.909,64,9,43,Carry,141,217,Barcelona,1,Regular Play,217,Barcelona,0.842042,,b0a62de8-6646-4536-9e3e-fe22f1c83e66,,5470,Ivan Rakitić,9,Right Defensive Midfield,62.7,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dee548e3-6bc2-4746-b07a-23bb9f2b12bf,59.6,74.1,,,,,,,,
dee548e3-6bc2-4746-b07a-23bb9f2b12bf,2689,2,00:19:10.751,64,10,30,Pass,141,217,Barcelona,1,Regular Play,217,Barcelona,1.622933,,146619bd-5624-43d6-af01-df1a73128e51,,5470,Ivan Rakitić,9,Right Defensive Midfield,59.6,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,7068.0,Marc Bartra Aregall,18.656097,-2.2765157,1.0,Ground Pass,47.5,59.9,,,,,,,,,,,,,,40.0,Right Foot,,,,,
146619bd-5624-43d6-af01-df1a73128e51,2690,2,00:19:12.374,64,12,42,Ball Receipt*,141,217,Barcelona,1,Regular Play,217,Barcelona,,,dee548e3-6bc2-4746-b07a-23bb9f2b12bf,,7068,Marc Bartra Aregall,3,Right Center Back,47.5,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b09a99b2-3e23-4e0c-b681-df85a65f268c,2691,2,00:19:12.374,64,12,43,Carry,141,217,Barcelona,1,Regular Play,217,Barcelona,2.151667,,146619bd-5624-43d6-af01-df1a73128e51,,7068,Marc Bartra Aregall,3,Right Center Back,47.5,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f52baea0-06ea-490b-ae9c-c4c45f9fae80,55.7,58.7,,,,,,,,
f52baea0-06ea-490b-ae9c-c4c45f9fae80,2692,2,00:19:14.525,64,14,30,Pass,141,217,Barcelona,1,Regular Play,217,Barcelona,4.465143,,7a4a3044-63e6-4cb9-a0de-889b76f3dc52,,7068,Marc Bartra Aregall,3,Right Center Back,55.7,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,82.262085,-0.7604678,3.0,High Pass,115.3,2.0,,,,,,,,,,,,,True,40.0,Right Foot,,,,,
7a4a3044-63e6-4cb9-a0de-889b76f3dc52,2693,2,00:19:18.990,64,18,42,Ball Receipt*,141,217,Barcelona,1,Regular Play,217,Barcelona,,,f52baea0-06ea-490b-ae9c-c4c45f9fae80,,4320,Neymar da Silva Santos Junior,21,Left Wing,115.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260b6e70-c7df-45ea-8b2e-6bcc749bdbd4,2694,2,00:19:18.990,64,18,43,Carry,141,217,Barcelona,1,Regular Play,217,Barcelona,0.509563,,7a4a3044-63e6-4cb9-a0de-889b76f3dc52,,4320,Neymar da Silva Santos Junior,21,Left Wing,115.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ef5fd4c4-429b-429b-81ff-75e6faede6a3,115.1,2.2,,,,,,,,
ef5fd4c4-429b-429b-81ff-75e6faede6a3,2695,2,00:19:19.500,64,19,38,Miscontrol,141,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,,4320,Neymar da Silva Santos Junior,21,Left Wing,115.1,2.2,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
