id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,foul_committed,foul_won,off_camera,ball_receipt,counterpress,interception,dribble,clearance,duel,out,bad_behaviour,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,ball_recovery,block,substitution,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,goalkeeper,related_events,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,related_events_4,foul_committed_advantage,foul_won_advantage,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,ball_recovery_recovery_failure,pass_deflected,block_deflection
f48f798a-f5a1-4e28-b3c7-f52c2596fa07,2481,2,00:16:25.560,61,25,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,3.360806,,6bbb2d11-44d0-4fb3-b02d-2283f9337ebe,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,55.5,43.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caed0219-fec1-4f1c-9502-bb325693ea3c,58.6,44.0,,,,,,,,,,,e44f5c0c-7878-4877-978d-498c5e599015,,,,,,,,,,,,,,,
caed0219-fec1-4f1c-9502-bb325693ea3c,2482,2,00:16:27.688,61,27,17,Pressure,115,217,Barcelona,1,Regular Play,220,Real Madrid,1.233599,,6bbb2d11-44d0-4fb3-b02d-2283f9337ebe,5574,Toni Kroos,15,Left Center Midfield,56.1,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c6e2fa13-fd34-4199-9683-c8ea08a46ea6,,,,,,,,,,,,,f48f798a-f5a1-4e28-b3c7-f52c2596fa07,,,,,,,,,,,,,,,
f0b4f2a9-8f35-4e16-8f80-1d34d6d40671,2483,2,00:16:28.921,61,28,39,Dribbled Past,115,217,Barcelona,1,Regular Play,220,Real Madrid,0.0,,6bbb2d11-44d0-4fb3-b02d-2283f9337ebe,5574,Toni Kroos,15,Left Center Midfield,61.5,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c6e2fa13-fd34-4199-9683-c8ea08a46ea6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bbb2d11-44d0-4fb3-b02d-2283f9337ebe,2484,2,00:16:28.921,61,28,14,Dribble,115,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,caed0219-fec1-4f1c-9502-bb325693ea3c,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,58.6,44.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0b4f2a9-8f35-4e16-8f80-1d34d6d40671,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,
c6e2fa13-fd34-4199-9683-c8ea08a46ea6,2485,2,00:16:28.921,61,28,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,0.5426,,6bbb2d11-44d0-4fb3-b02d-2283f9337ebe,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,58.6,44.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71950f6c-88d1-45ec-a57f-42a3a9a758b2,57.3,43.8,,,,,,,,,,,caed0219-fec1-4f1c-9502-bb325693ea3c,f0b4f2a9-8f35-4e16-8f80-1d34d6d40671,,,,,,,,,,,,,,
71950f6c-88d1-45ec-a57f-42a3a9a758b2,2486,2,00:16:29.464,61,29,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,1.0267,,72f1d899-765a-483d-9b77-618dcadd7b97,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,57.3,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,11.175867,0.76008713,1.0,Ground Pass,65.4,51.5,40.0,Right Foot,,,,,,,,,,,,,,,,
72f1d899-765a-483d-9b77-618dcadd7b97,2487,2,00:16:30.490,61,30,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,71950f6c-88d1-45ec-a57f-42a3a9a758b2,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,65.4,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736f5773-236c-45c3-a89d-6d469e41d516,2488,2,00:16:30.490,61,30,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,0.08,,72f1d899-765a-483d-9b77-618dcadd7b97,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,65.4,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fcf1326f-26d4-468f-a056-3aa856091dfc,65.4,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,
fcf1326f-26d4-468f-a056-3aa856091dfc,2489,2,00:16:30.570,61,30,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,1.3454,,7c95dd32-d10d-464a-b096-2d6c19bf268b,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,65.4,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,10.400962,-2.150799,1.0,Ground Pass,59.7,42.5,38.0,Left Foot,,,,,,,,,,,,,,,,
7c95dd32-d10d-464a-b096-2d6c19bf268b,2490,2,00:16:31.916,61,31,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,fcf1326f-26d4-468f-a056-3aa856091dfc,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,59.7,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
