IdFiles,ScoringTeam,Score,Difference,NoInformation,passes,completePasses,incompletePasses,minutes
263_2,,NF,NF,NF,194.0,151.0,43.0,50.0
266_1,Rayo Vallecano,1_0,1,,227.0,189.0,38.0,38.0
266_2,Rayo Vallecano,2_0,2,,48.0,44.0,4.0,7.0
266_3,Rayo Vallecano,3_0,3,,21.0,19.0,2.0,2.0
266_4,,NF,NF,NF,210.0,186.0,24.0,45.0
269_1,Sevilla,0_1,-1,,65.0,56.0,9.0,22.0
269_2,Sevilla,0_2,-2,,155.0,139.0,16.0,22.0
269_3,Rayo Vallecano,1_2,-1,,29.0,26.0,3.0,4.0
269_4,Rayo Vallecano,2_2,0,,87.0,73.0,14.0,16.0
269_5,Sevilla,2_3,-1,,64.0,53.0,11.0,15.0
269_6,,NF,NF,NF,22.0,17.0,5.0,8.0
277_1,Real Betis,0_1,-1,,95.0,80.0,15.0,20.0
277_2,Real Betis,0_2,-2,,270.0,225.0,45.0,40.0
277_3,,NF,NF,NF,208.0,180.0,28.0,32.0
290_1,Rayo Vallecano,1_0,1,,78.0,67.0,11.0,15.0
290_2,Barcelona,1_1,0,,34.0,28.0,6.0,6.0
290_3,Barcelona,1_2,-1,,65.0,57.0,8.0,9.0
290_4,Barcelona,1_3,-2,,225.0,191.0,34.0,37.0
290_5,Barcelona,1_4,-3,,3.0,2.0,1.0,1.0
290_6,Barcelona,1_5,-4,,30.0,29.0,1.0,6.0
290_7,Rayo Vallecano,2_5,-3,,66.0,55.0,11.0,9.0
290_8,,NF,NF,NF,44.0,37.0,7.0,6.0
296_1,Rayo Vallecano,1_0,1,,198.0,173.0,25.0,35.0
296_2,Rayo Vallecano,2_0,2,,230.0,199.0,31.0,40.0
296_3,Rayo Vallecano,3_0,3,,2.0,2.0,0.0,1.0
296_4,,NF,NF,NF,152.0,143.0,9.0,14.0
305_1,Eibar,0_1,-1,,129.0,105.0,24.0,21.0
305_2,,NF,NF,NF,380.0,300.0,80.0,72.0
311_1,Rayo Vallecano,1_0,1,,12.0,9.0,3.0,2.0
311_2,Rayo Vallecano,2_0,2,,36.0,29.0,7.0,6.0
311_3,Granada,2_1,1,,159.0,124.0,35.0,41.0
311_4,,NF,NF,NF,112.0,73.0,39.0,42.0
327_1,Getafe,0_1,-1,,295.0,248.0,47.0,58.0
327_2,Rayo Vallecano,1_1,0,,124.0,109.0,15.0,14.0
327_3,,NF,NF,NF,72.0,54.0,18.0,21.0
32_1,Rayo Vallecano,1_0,1,,55.0,43.0,12.0,8.0
32_2,RC Deportivo La Coruña,1_1,0,,30.0,19.0,11.0,9.0
32_3,Rayo Vallecano,2_1,1,,11.0,7.0,4.0,4.0
32_4,Rayo Vallecano,3_1,2,,105.0,81.0,24.0,20.0
32_5,,NF,NF,NF,169.0,124.0,45.0,48.0
333_1,Athletic Club,0_1,-1,,7.0,5.0,2.0,1.0
333_2,Athletic Club,0_2,-2,,149.0,112.0,37.0,20.0
333_3,Athletic Club,0_3,-3,,193.0,154.0,39.0,35.0
333_4,,NF,NF,NF,214.0,185.0,29.0,32.0
340_1,Rayo Vallecano,1_0,1,,181.0,149.0,32.0,41.0
340_2,Villarreal,1_1,0,,174.0,140.0,34.0,27.0
340_3,Villarreal,1_2,-1,,53.0,38.0,15.0,17.0
340_4,,NF,NF,NF,33.0,26.0,7.0,8.0
347_1,Rayo Vallecano,1_0,1,,32.0,19.0,13.0,6.0
347_2,Málaga,1_1,0,,192.0,146.0,46.0,49.0
347_3,Málaga,1_2,-1,,127.0,102.0,25.0,27.0
347_4,,NF,NF,NF,24.0,20.0,4.0,7.0
354_1,Real Madrid,0_1,-1,,9.0,6.0,3.0,3.0
354_2,Rayo Vallecano,1_1,0,,41.0,33.0,8.0,7.0
354_3,Rayo Vallecano,2_1,1,,15.0,13.0,2.0,2.0
354_4,Real Madrid,2_2,0,,41.0,34.0,7.0,13.0
354_5,Real Madrid,2_3,-1,,3.0,2.0,1.0,2.0
354_6,Real Madrid,2_4,-2,,65.0,54.0,11.0,11.0
354_7,Real Madrid,2_5,-3,,69.0,63.0,6.0,7.0
354_8,Real Madrid,2_6,-4,,22.0,18.0,4.0,5.0
354_9,Real Madrid,2_7,-5,,65.0,60.0,5.0,8.0
354_10,Real Madrid,2_8,-6,,55.0,48.0,7.0,8.0
354_11,Real Madrid,2_9,-7,,47.0,41.0,6.0,8.0
354_12,Real Madrid,2_10,-8,,54.0,49.0,5.0,10.0
354_13,,NF,NF,NF,7.0,7.0,0.0,2.0
364_1,Atlético Madrid,0_1,-1,,448.0,360.0,88.0,87.0
364_2,Atlético Madrid,0_2,-2,,4.0,3.0,1.0,1.0
364_3,,NF,NF,NF,14.0,10.0,4.0,3.0
37_1,Las Palmas,0_1,-1,,12.0,12.0,0.0,2.0
37_2,Rayo Vallecano,1_1,0,,293.0,222.0,71.0,70.0
37_3,,NF,NF,NF,120.0,102.0,18.0,20.0
3_1,Rayo Vallecano,1_0,1,,62.0,43.0,19.0,15.0
3_2,Real Sociedad,1_1,0,,32.0,21.0,11.0,9.0
3_3,Rayo Vallecano,2_1,1,,94.0,76.0,18.0,24.0
3_4,Real Sociedad,2_2,0,,16.0,8.0,8.0,6.0
3_5,,NF,NF,NF,96.0,60.0,36.0,31.0
43_1,Sporting Gijón,0_1,-1,,20.0,15.0,5.0,4.0
43_2,Rayo Vallecano,1_1,0,,193.0,173.0,20.0,34.0
43_3,Sporting Gijón,1_2,-1,,45.0,35.0,10.0,5.0
43_4,Rayo Vallecano,2_2,0,,92.0,82.0,10.0,12.0
43_5,,NF,NF,NF,206.0,180.0,26.0,34.0
52_1,Sevilla,0_1,-1,,44.0,32.0,12.0,9.0
52_2,Sevilla,0_2,-2,,53.0,45.0,8.0,10.0
52_3,Rayo Vallecano,1_2,-1,,135.0,108.0,27.0,23.0
52_4,Rayo Vallecano,2_2,0,,104.0,88.0,16.0,20.0
52_5,,NF,NF,NF,129.0,101.0,28.0,31.0
58_1,Real Betis,0_1,-1,,84.0,66.0,18.0,13.0
58_2,Real Betis,0_2,-2,,80.0,73.0,7.0,13.0
58_3,Rayo Vallecano,1_2,-1,,132.0,112.0,20.0,20.0
58_4,Rayo Vallecano,2_2,0,,8.0,5.0,3.0,3.0
58_5,,NF,NF,NF,151.0,111.0,40.0,43.0
63_1,Barcelona,0_1,-1,,62.0,46.0,16.0,20.0
63_2,Barcelona,0_2,-2,,11.0,9.0,2.0,1.0
63_3,Barcelona,0_3,-3,,145.0,119.0,26.0,30.0
63_4,Rayo Vallecano,1_3,-2,,12.0,12.0,0.0,4.0
63_5,Barcelona,1_4,-3,,29.0,21.0,8.0,14.0
63_6,Barcelona,1_5,-4,,36.0,29.0,7.0,13.0
63_7,,NF,NF,NF,20.0,19.0,1.0,4.0
67_1,Espanyol,0_1,-1,,64.0,54.0,10.0,11.0
67_2,Rayo Vallecano,1_1,0,,351.0,293.0,58.0,55.0
67_3,Espanyol,1_2,-1,,54.0,46.0,8.0,9.0
67_4,,NF,NF,NF,96.0,88.0,8.0,16.0
72_1,Rayo Vallecano,1_0,1,,59.0,51.0,8.0,7.0
72_2,Eibar,1_1,0,,142.0,118.0,24.0,28.0
72_3,,NF,NF,NF,228.0,168.0,60.0,59.0
79_1,Granada,0_1,-1,,64.0,57.0,7.0,11.0
79_2,Rayo Vallecano,1_1,0,,219.0,193.0,26.0,35.0
79_3,Granada,1_2,-1,,35.0,29.0,6.0,7.0
79_4,Rayo Vallecano,2_2,0,,195.0,180.0,15.0,33.0
79_5,,NF,NF,NF,48.0,37.0,11.0,8.0
92_1,Rayo Vallecano,1_0,1,,52.0,38.0,14.0,13.0
92_2,Rayo Vallecano,2_0,2,,252.0,198.0,54.0,56.0
92_3,,NF,NF,NF,78.0,57.0,21.0,21.0
9_1,Levante UD,0_1,-1,,363.0,283.0,80.0,70.0
9_2,Levante UD,0_2,-2,,56.0,42.0,14.0,9.0
9_3,Rayo Vallecano,1_2,-1,,6.0,5.0,1.0,1.0
9_4,,NF,NF,NF,30.0,17.0,13.0,10.0
