id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,counterpress,under_pressure,dribble,interception,off_camera,duel,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,out,ball_recovery,clearance,foul_committed,foul_won,substitution,bad_behaviour,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,goalkeeper,related_events_1,pass_recipient_id,pass_recipient_name,carry_end_location_0,carry_end_location_1,related_events,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_2,pass_aerial_won,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,pass_switch,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_left_foot
c94fb617-8f6d-4c22-95f6-36e7c777afac,1889,2,00:14:24.424,59,24,30,Pass,138,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,2.863396,,4b593f50-b2cd-4546-966d-e216bd47799e,10612,Yoel Rodríguez Oterino,1,Goalkeeper,8.4,47.0,,,,,True,,,,,,,,,,,,,,,,,,,,,64.67921,-0.049495146,3.0,High Pass,73.0,43.8,40.0,Right Foot,,,9.0,Incomplete,,edb19623-c87a-43d3-bff9-47e63a14caf0,,,,,,,,,,,,,,,,,,,,
069d85e4-7433-4119-8ddb-c74c0283d597,1902,2,00:14:35.916,59,35,4,Duel,140,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,908b6e3c-eb96-41f7-be5d-40f6001ef667,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,65.9,68.2,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,4.0,Won,,,,,,,
f95cdfe1-2187-4144-a4e0-0c596b47ac53,1903,2,00:14:35.916,59,35,43,Carry,140,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.216642,,069d85e4-7433-4119-8ddb-c74c0283d597,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,65.9,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b34f7eb1-be32-433c-bc15-9b0d07105817,,,64.6,69.5,,,,,,,,,,,,,,,,
b34f7eb1-be32-433c-bc15-9b0d07105817,1904,2,00:14:37.133,59,37,30,Pass,140,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.757876,,92281793-6b02-433c-bcf5-be9e1112b0f3,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,64.6,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,19.684004,0.28318447,1.0,Ground Pass,83.5,75.0,40.0,Right Foot,,,,,,,23761.0,Alhassane Bangoura,,,,,,,,,,,,,,,,,,
92281793-6b02-433c-bcf5-be9e1112b0f3,1905,2,00:14:38.891,59,38,42,Ball Receipt*,140,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,b34f7eb1-be32-433c-bc15-9b0d07105817,23761,Alhassane Bangoura,17,Right Wing,83.5,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3665732-0290-4d4d-a12e-1c9f770b588a,1906,2,00:14:38.891,59,38,43,Carry,140,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.7545,,92281793-6b02-433c-bcf5-be9e1112b0f3,23761,Alhassane Bangoura,17,Right Wing,83.5,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ab743bf5-7930-4660-b273-4ae4ec01f053,,,101.6,71.4,,,,,,,,,,,,,,,,
ab743bf5-7930-4660-b273-4ae4ec01f053,1907,2,00:14:40.645,59,40,30,Pass,140,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.396644,,00cc6ee2-54cd-4ea3-8421-61e576ac992c,23761,Alhassane Bangoura,17,Right Wing,101.6,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,40.697052,-1.3854483,3.0,High Pass,109.1,31.4,40.0,Right Foot,,,9.0,Incomplete,,5a75f588-d28b-4c45-82d6-e4c5033417b6,11542.0,Javier Guerra Rodríguez,,,,,,,,,,,,True,True,,,,,
5a75f588-d28b-4c45-82d6-e4c5033417b6,1908,2,00:14:43.042,59,43,42,Ball Receipt*,140,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,ab743bf5-7930-4660-b273-4ae4ec01f053,11542,Javier Guerra Rodríguez,23,Center Forward,108.1,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,
bd33c4cd-16b2-4041-a37a-e6f51ce9b8d5,1909,2,00:14:43.042,59,43,4,Duel,140,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,00cc6ee2-54cd-4ea3-8421-61e576ac992c,11542,Javier Guerra Rodríguez,23,Center Forward,109.1,31.4,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,
00cc6ee2-54cd-4ea3-8421-61e576ac992c,1910,2,00:14:43.042,59,43,9,Clearance,140,360,Rayo Vallecano,1,Regular Play,210,Real Sociedad,0.0,,ab743bf5-7930-4660-b273-4ae4ec01f053,6679,Aritz Elustondo Irribaria,3,Right Center Back,11.0,48.7,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bd33c4cd-16b2-4041-a37a-e6f51ce9b8d5,,,,,,,,,,,,,,,,True,True,37.0,Head,
727e738b-bf5f-42fb-9f73-98fe708533d1,1911,2,00:14:44.635,59,44,2,Ball Recovery,140,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,,11539,Adrián Embarba Blázquez,21,Left Wing,104.0,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f243473c-77c6-474c-858d-3468f26bca7b,1912,2,00:14:44.635,59,44,43,Carry,140,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,4.062195,,550fdbef-e534-4680-96a9-3b9d8c64230a,11539,Adrián Embarba Blázquez,21,Left Wing,104.0,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727e738b-bf5f-42fb-9f73-98fe708533d1,,,105.7,14.9,,,,,,,,,,,,,,,,
550fdbef-e534-4680-96a9-3b9d8c64230a,1913,2,00:14:48.698,59,48,30,Pass,140,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.885711,,9f3bb822-2c21-41c2-84ea-5364fa1685b5,11539,Adrián Embarba Blázquez,21,Left Wing,105.7,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,21.56409,1.3415644,2.0,Low Pass,110.6,35.9,40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,True,,,,,,
