id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,dribble,duel,interception,out,miscontrol,foul_won,clearance,foul_committed,substitution,shot,goalkeeper,ball_recovery,block,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,related_events_3,interception_outcome_id,interception_outcome_name,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,foul_committed_card_id,foul_committed_card_name,ball_recovery_recovery_failure,player,position,location,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,block_offensive,block_deflection
4e675e1d-2d27-443f-ace1-6eb654131f7f,1712,1,00:41:58.491,41,58,30,Pass,97,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.482318,,215593d8-a77a-44ce-bdff-d4ed6dcc26dc,True,24138.0,Joaquín José Marín Ruiz,2.0,Right Back,65.4,80.0,23761.0,Alhassane Bangoura,6.935416,-0.74460447,2.0,Low Pass,70.5,75.3,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215593d8-a77a-44ce-bdff-d4ed6dcc26dc,1713,1,00:41:59.973,41,59,42,Ball Receipt*,97,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,4e675e1d-2d27-443f-ace1-6eb654131f7f,,23761.0,Alhassane Bangoura,17.0,Right Wing,70.5,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49e26066-ca4c-40ee-bd93-156b5e7d652b,1714,1,00:42:08.462,42,8,22,Foul Committed,97,360,Rayo Vallecano,4,From Throw In,209,Celta Vigo,0.0,,fbba8aa1-8be1-4fa1-a7bc-de515206ebb8,True,6802.0,Jonathan Castro Otto,6.0,Left Back,39.4,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbba8aa1-8be1-4fa1-a7bc-de515206ebb8,1715,1,00:42:08.462,42,8,21,Foul Won,97,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.0,,49e26066-ca4c-40ee-bd93-156b5e7d652b,,23761.0,Alhassane Bangoura,17.0,Right Wing,80.7,75.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7faac59e-866b-49f7-9852-8cc3f70c166b,1716,1,00:42:23.329,42,23,30,Pass,98,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,2.70698,,edc5d392-c398-450e-b443-394a5327484a,,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,80.9,74.8,27144.0,Antonio Amaya Carazo,49.713177,-1.0531472,3.0,High Pass,105.5,31.6,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc5d392-c398-450e-b443-394a5327484a,1717,1,00:42:26.036,42,26,42,Ball Receipt*,98,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,7faac59e-866b-49f7-9852-8cc3f70c166b,,27144.0,Antonio Amaya Carazo,5.0,Left Center Back,105.5,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed84ab6a-68d0-41a0-a26c-300c765b0356,1718,1,00:42:26.036,42,26,4,Duel,98,360,Rayo Vallecano,3,From Free Kick,209,Celta Vigo,0.0,,25c59bb4-9993-4389-b138-284523b78fac,,6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,14.3,48.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25c59bb4-9993-4389-b138-284523b78fac,1719,1,00:42:26.036,42,26,30,Pass,98,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.383375,,76754d09-5a16-401e-9daf-0a706c25fb9d,,27144.0,Antonio Amaya Carazo,5.0,Left Center Back,105.8,31.6,,,6.847627,1.0679531,2.0,Low Pass,109.1,37.6,,,,,,True,,,,,,,,,,,,,,,,,ed84ab6a-68d0-41a0-a26c-300c765b0356,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76754d09-5a16-401e-9daf-0a706c25fb9d,1720,1,00:42:26.420,42,26,9,Clearance,98,360,Rayo Vallecano,3,From Free Kick,209,Celta Vigo,0.0,,25c59bb4-9993-4389-b138-284523b78fac,,6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,11.0,42.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a91da3ed-ac81-4f0d-89d6-bacb910cfdfd,1721,1,00:42:29.620,42,29,17,Pressure,98,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.461196,,679085d1-93b3-4efb-857c-11f33d475748,,9246.0,Patrick Ebert,19.0,Center Attacking Midfield,88.4,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf85991a-5671-4512-8992-cb7da1331793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
