id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,out,ball_receipt,off_camera,duel,clearance,counterpress,dribble,foul_committed,foul_won,interception,shot,goalkeeper,block,ball_recovery,substitution,pass,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,duel_type_id,duel_type_name,pass_aerial_won,pass_cross,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_goal_assist,shot_open_goal,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate
abf79623-27b7-47ed-93ac-8dc39d251782,2073,2,00:10:04.811,55,4,42,Ball Receipt*,122,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,,,64663cbb-9094-470e-869a-dfb59942ea54,26797,Francisco Medina Luna,19,Center Attacking Midfield,112.0,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e978c0bd-4634-44ff-8d92-9026248b0b68,2074,2,00:10:28.745,55,28,19,Substitution,122,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,0.0,,,26797,Francisco Medina Luna,19,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,24782.0,Jonhatan Montiel Caballero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36025005-adbc-4e96-b60a-4642b2bb7d16,2096,2,00:10:55.727,55,55,10,Interception,124,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,c3d89e5b-8735-47ed-aeae-53d769517a13,11539,Adrián Embarba Blázquez,17,Right Wing,92.5,60.8,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51fe2cb1-7059-4066-937a-84a9840f65a1,2097,2,00:10:55.727,55,55,43,Carry,124,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.845047,,36025005-adbc-4e96-b60a-4642b2bb7d16,11539,Adrián Embarba Blázquez,17,Right Wing,92.5,60.8,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,88af524f-3361-49a7-bfb9-48fb69dcb868,8c3a9d4f-5b19-45ac-99c0-b6c10e42225f,95.8,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c3a9d4f-5b19-45ac-99c0-b6c10e42225f,2098,2,00:10:56.055,55,56,17,Pressure,124,360,Rayo Vallecano,1,Regular Play,217,Barcelona,0.698432,,51fe2cb1-7059-4066-937a-84a9840f65a1,5216,Andrés Iniesta Luján,13,Right Center Midfield,31.6,22.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,88af524f-3361-49a7-bfb9-48fb69dcb868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88af524f-3361-49a7-bfb9-48fb69dcb868,2099,2,00:10:56.572,55,56,30,Pass,124,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.43339,,2d1f68df-115c-4dad-af7e-61d1cb5c6e7a,11539,Adrián Embarba Blázquez,17,Right Wing,95.8,59.8,24782.0,Jonhatan Montiel Caballero,17.123375,-1.2065575,1.0,Ground Pass,101.9,43.8,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,8c3a9d4f-5b19-45ac-99c0-b6c10e42225f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d1f68df-115c-4dad-af7e-61d1cb5c6e7a,2100,2,00:10:58.005,55,58,42,Ball Receipt*,124,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,88af524f-3361-49a7-bfb9-48fb69dcb868,24782,Jonhatan Montiel Caballero,19,Center Attacking Midfield,101.9,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130ceae-e994-475a-8708-d75668688abb,2101,2,00:10:58.005,55,58,43,Carry,124,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.04001,,2d1f68df-115c-4dad-af7e-61d1cb5c6e7a,24782,Jonhatan Montiel Caballero,19,Center Attacking Midfield,101.9,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4adebf6d-c857-4eac-9201-3b6c02997287,,102.8,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4adebf6d-c857-4eac-9201-3b6c02997287,2102,2,00:10:58.045,55,58,30,Pass,124,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.531094,,d9350969-5603-4d8c-945f-77d520bb7a04,24782,Jonhatan Montiel Caballero,19,Center Attacking Midfield,102.8,43.4,26848.0,Roberto Trashorras Gayoso,8.5440035,2.5730681,1.0,Ground Pass,95.6,48.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9350969-5603-4d8c-945f-77d520bb7a04,2103,2,00:10:58.576,55,58,42,Ball Receipt*,124,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,4adebf6d-c857-4eac-9201-3b6c02997287,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,95.6,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
