id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,interception,clearance,counterpress,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,duel,out,dribble,ball_recovery,miscontrol,foul_won,off_camera,foul_committed,substitution,50_50,bad_behaviour,player,position,location,goalkeeper,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,pass_cross,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_aerial_won,pass_miscommunication
46a24bf8-1ce5-475c-a8d2-e92d761d60f5,1596,1,00:46:59.408,46,59,23,Goal Keeper,87,360,Rayo Vallecano,4,From Throw In,1049,Granada,0.0,,3258e9d9-de24-4a0c-82c2-9e3672951987,27240.0,Jesús Fernández Collado,1.0,Goalkeeper,2.9,46.7,,,,,,,,,46.0,Standing,44.0,Set,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4656df2b-9f68-499a-a975-50343c506e44,1597,1,00:47:13.402,47,13,34,Half End,87,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.0,,95f45adb-7dff-47e7-b671-f3b08c50de2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95f45adb-7dff-47e7-b671-f3b08c50de2c,1598,1,00:47:13.402,47,13,34,Half End,87,360,Rayo Vallecano,4,From Throw In,1049,Granada,0.0,,4656df2b-9f68-499a-a975-50343c506e44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f46a600-40ce-47dd-9af0-4690786c25af,1599,2,00:00:00.000,45,0,18,Half Start,87,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.0,,5c3e8374-eff2-4a2f-91d9-6880da512dcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c3e8374-eff2-4a2f-91d9-6880da512dcf,1600,2,00:00:00.000,45,0,18,Half Start,87,360,Rayo Vallecano,4,From Throw In,1049,Granada,0.0,,8f46a600-40ce-47dd-9af0-4690786c25af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d31ab201-6be9-4880-bcfb-828e1f994824,1635,2,00:00:30.258,45,30,4,Duel,89,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,afafbca9-12f1-40dc-989a-5481fe518c19,18404.0,José Ángel Crespo Rincón,5.0,Left Center Back,32.3,60.8,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be23fc9d-6028-4b7c-9702-cd2dfb7ef440,1636,2,00:00:32.160,45,32,2,Ball Recovery,89,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,,26222.0,José Eduardo Rosa Vale de Castro,3.0,Right Center Back,30.5,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e365daff-9a5d-42aa-b4e1-0ad5c0f1cdeb,1637,2,00:00:32.160,45,32,43,Carry,89,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.466596,,be23fc9d-6028-4b7c-9702-cd2dfb7ef440,26222.0,José Eduardo Rosa Vale de Castro,3.0,Right Center Back,30.5,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ee7f13b7-841a-405b-84f5-e9d4198c0210,37.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee7f13b7-841a-405b-84f5-e9d4198c0210,1638,2,00:00:34.626,45,34,30,Pass,89,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.46358,,051edc59-fd2a-468e-86c3-4f43aa376242,26222.0,José Eduardo Rosa Vale de Castro,3.0,Right Center Back,37.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4711.0,Pablo Hernández Domínguez,8.46286,0.9532941,1.0,Ground Pass,42.4,76.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,
be04a239-53ee-470b-9f9e-3e0567204d7f,1639,2,00:00:34.775,45,34,17,Pressure,89,360,Rayo Vallecano,1,Regular Play,1049,Granada,0.410331,,051edc59-fd2a-468e-86c3-4f43aa376242,6599.0,Rubén Salvador Pérez Del Mármol,11.0,Left Defensive Midfield,76.6,5.6,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d45ae09-1f9e-407e-b000-6e905523a960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
