id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,ball_receipt,under_pressure,duel,clearance,counterpress,interception,shot,goalkeeper,out,dribble,ball_recovery,foul_committed,foul_won,substitution,block,miscontrol,pass,pass_outcome_id,pass_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,related_events,ball_receipt_outcome_id,ball_receipt_outcome_name,block_offensive,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,related_events_3,clearance_aerial_won,clearance_head,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,pass_cross,pass_switch
589371df-c633-430f-b5b2-ed40ade0bd64,2981,2,00:46:48.164,91,48,2,Ball Recovery,194,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.0,,,,6852,Jozabed Sánchez Ruiz,9,Right Defensive Midfield,41.8,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428dbd58-5a76-43f3-af8e-5341d9c713aa,2982,2,00:46:48.164,91,48,43,Carry,194,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.825372,,589371df-c633-430f-b5b2-ed40ade0bd64,,6852,Jozabed Sánchez Ruiz,9,Right Defensive Midfield,41.8,60.9,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,da1675e1-8535-4ba5-955c-404d6091e321,dcb119b6-c95c-4f5c-a54a-2951b59ac2d3,41.6,59.9,,,,,,,,,,,,,,,,,,,
da1675e1-8535-4ba5-955c-404d6091e321,2983,2,00:46:48.661,91,48,17,Pressure,194,360,Rayo Vallecano,9,From Kick Off,223,Málaga,0.579687,,428dbd58-5a76-43f3-af8e-5341d9c713aa,,26783,Roque Luis Santa Cruz Cantero,24,Left Center Forward,78.5,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcb119b6-c95c-4f5c-a54a-2951b59ac2d3,,,,,,,,,,,,,,,,,,,,,,
dcb119b6-c95c-4f5c-a54a-2951b59ac2d3,2984,2,00:46:48.989,91,48,30,Pass,194,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.26343,,74e3cff7-d0a2-48c1-9810-9e81ffd53bde,,6852,Jozabed Sánchez Ruiz,9,Right Defensive Midfield,41.6,59.9,26848.0,Roberto Trashorras Gayoso,13.705838,-1.205194,1.0,Ground Pass,46.5,47.1,40.0,Right Foot,,,,,True,,,,,,,,,,,,,,,,,,,,,da1675e1-8535-4ba5-955c-404d6091e321,,,,,,,,,,,,,,,,,,,,,,
74e3cff7-d0a2-48c1-9810-9e81ffd53bde,2985,2,00:46:50.253,91,50,42,Ball Receipt*,194,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,dcb119b6-c95c-4f5c-a54a-2951b59ac2d3,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,46.5,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0d8e137-2ca3-4efd-b4af-a1fc4e36944d,2986,2,00:46:50.253,91,50,43,Carry,194,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,2.474576,,27bf7009-7507-4d89-8fbc-c0cb9ce231bd,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,46.5,47.1,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,74e3cff7-d0a2-48c1-9810-9e81ffd53bde,df9ad4e5-7bf9-41cc-841f-aa78531696ee,48.7,45.8,,,,,,,,,,,,,,,,,,,
df9ad4e5-7bf9-41cc-841f-aa78531696ee,2987,2,00:46:52.338,91,52,17,Pressure,194,360,Rayo Vallecano,9,From Kick Off,223,Málaga,0.592488,,27bf7009-7507-4d89-8fbc-c0cb9ce231bd,,6563,Juan Pablo Añor Acosta,9,Right Defensive Midfield,69.8,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0d8e137-2ca3-4efd-b4af-a1fc4e36944d,,,,,,,,,,,,,,,,,,,,,,
27bf7009-7507-4d89-8fbc-c0cb9ce231bd,2988,2,00:46:52.727,91,52,30,Pass,194,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.690397,,0eecc019-bb0a-49cb-ac6a-9ad26728f4e7,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,48.7,45.8,26685.0,Nicolás Ladislao Fedor Flores,30.83018,0.7899853,3.0,High Pass,70.4,67.7,40.0,Right Foot,,,,,True,,,,,,,,,,,,,,,,9.0,Incomplete,,,,9b1bbdd3-0712-4b4d-a166-9d0c36a1ff69,df9ad4e5-7bf9-41cc-841f-aa78531696ee,,,,,,,,,,,,,,,,,,,,,
9b1bbdd3-0712-4b4d-a166-9d0c36a1ff69,2989,2,00:46:54.418,91,54,42,Ball Receipt*,194,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,27bf7009-7507-4d89-8fbc-c0cb9ce231bd,,26685,Nicolás Ladislao Fedor Flores,22,Right Center Forward,77.6,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,
0eecc019-bb0a-49cb-ac6a-9ad26728f4e7,2990,2,00:46:54.418,91,54,6,Block,194,360,Rayo Vallecano,9,From Kick Off,223,Málaga,0.0,,27bf7009-7507-4d89-8fbc-c0cb9ce231bd,,6844,Federico Ricca Rostagnol,6,Left Back,49.7,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
5d57e68c-2cdd-4ec4-9c81-8e90db2b2468,3015,2,00:47:14.930,92,14,2,Ball Recovery,196,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,b3ac0732-cf58-4614-99ff-5506ae6de3f7,,26685,Nicolás Ladislao Fedor Flores,22,Right Center Forward,48.1,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131f489b-85ee-4d97-92e9-cc5f81942962,3016,2,00:47:14.930,92,14,43,Carry,196,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.726691,,26da4823-f92d-42df-bb82-b86988e92b17,,26685,Nicolás Ladislao Fedor Flores,22,Right Center Forward,48.1,46.7,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,5d57e68c-2cdd-4ec4-9c81-8e90db2b2468,965044f0-91ac-4263-931e-09cfda3a4a2b,65.6,36.1,,,,,,,,,,,,,,,,,,,
26da4823-f92d-42df-bb82-b86988e92b17,3017,2,00:47:16.657,92,16,39,Dribbled Past,196,360,Rayo Vallecano,1,Regular Play,223,Málaga,0.0,,131f489b-85ee-4d97-92e9-cc5f81942962,,6727,Raúl Albentosa Redal,3,Right Center Back,54.5,44.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,965044f0-91ac-4263-931e-09cfda3a4a2b,fa3ef496-bf77-4d07-93d1-9ab62bc45fe4,,,,,,,,,,,,,,,,,,,,,
965044f0-91ac-4263-931e-09cfda3a4a2b,3018,2,00:47:16.657,92,16,14,Dribble,196,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,26da4823-f92d-42df-bb82-b86988e92b17,,26685,Nicolás Ladislao Fedor Flores,22,Right Center Forward,65.6,36.1,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,8.0,Complete,,,,,,,,
fa3ef496-bf77-4d07-93d1-9ab62bc45fe4,3019,2,00:47:16.657,92,16,43,Carry,196,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,3.734429,,1d55df6c-ddbe-44c3-b4fa-7dad5446d005,,26685,Nicolás Ladislao Fedor Flores,22,Right Center Forward,65.6,36.1,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,26da4823-f92d-42df-bb82-b86988e92b17,8690f6f7-9fbf-4ebc-a442-c8f6c933245e,71.7,22.9,,,,,,,,,,,,965044f0-91ac-4263-931e-09cfda3a4a2b,,,,,,,
1d55df6c-ddbe-44c3-b4fa-7dad5446d005,3020,2,00:47:19.342,92,19,17,Pressure,196,360,Rayo Vallecano,1,Regular Play,223,Málaga,1.731958,,8690f6f7-9fbf-4ebc-a442-c8f6c933245e,,8234,Ignacio Camacho Barnola,11,Left Defensive Midfield,48.4,56.6,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,fa3ef496-bf77-4d07-93d1-9ab62bc45fe4,,,,,,,,,,,,,,,,,,,,,,
88b7c95d-7e9b-4253-9232-da457e99d74c,3021,2,00:47:20.391,92,20,22,Foul Committed,196,360,Rayo Vallecano,1,Regular Play,223,Málaga,0.0,,8690f6f7-9fbf-4ebc-a442-c8f6c933245e,,8234,Ignacio Camacho Barnola,11,Left Defensive Midfield,48.4,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8690f6f7-9fbf-4ebc-a442-c8f6c933245e,3022,2,00:47:20.391,92,20,21,Foul Won,196,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,1d55df6c-ddbe-44c3-b4fa-7dad5446d005,,26685,Nicolás Ladislao Fedor Flores,22,Right Center Forward,71.7,22.9,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,88b7c95d-7e9b-4253-9232-da457e99d74c,,,,,,,,,,,,,,,,,,,,,,
c902e96e-fadf-4791-b549-865d332656be,3023,2,00:47:51.583,92,51,30,Pass,197,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.925855,,47dbabdc-d16a-4f68-8ada-0e099f870874,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,76.0,21.8,,,38.710464,0.6202495,3.0,High Pass,107.5,44.3,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,
76fbbf68-36de-4c3f-91ff-2532484505c1,3024,2,00:47:53.509,92,53,4,Duel,197,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.0,,47dbabdc-d16a-4f68-8ada-0e099f870874,,26690,Alberto Mateus Contreiras Gonçalves,24,Left Center Forward,107.5,44.3,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,
47dbabdc-d16a-4f68-8ada-0e099f870874,3025,2,00:47:53.509,92,53,9,Clearance,197,360,Rayo Vallecano,3,From Free Kick,223,Málaga,0.0,,76fbbf68-36de-4c3f-91ff-2532484505c1,,26783,Roque Luis Santa Cruz Cantero,24,Left Center Forward,12.6,35.8,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,37.0,Head,,c902e96e-fadf-4791-b549-865d332656be,,,,,,,,,,,,,,,,True,True,,,,,
