id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,goalkeeper,dribble,duel,foul_committed,off_camera,clearance,shot,foul_won,interception,out,ball_recovery,bad_behaviour,substitution,pass,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,related_events_1,pass_aerial_won,related_events,carry_end_location_0,carry_end_location_1,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,related_events_2,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,related_events_3,pass_cross,foul_won_defensive,player,position,location
61974e5b-e156-487e-af8b-a90fdcc54fa7,3204,2,00:48:24.006,93,24,43,Carry,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.942207,,49e5d1d7-27f5-462e-aceb-a975199d7ef5,6713.0,Diego Javier Llorente Ríos,5.0,Left Center Back,31.7,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e999b33f-f0f9-4b56-a0d2-7f66b505817c,,,38.1,36.1,,,,,,,,,,,,,,,,,,,,
e999b33f-f0f9-4b56-a0d2-7f66b505817c,3205,2,00:48:25.948,93,25,30,Pass,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.228911,,6708547d-3304-4af1-a807-43fdf1efb27c,6713.0,Diego Javier Llorente Ríos,5.0,Left Center Back,38.1,36.1,6852.0,Jozabed Sánchez Ruiz,13.092364,-0.57317317,1.0,Ground Pass,49.1,29.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6708547d-3304-4af1-a807-43fdf1efb27c,3206,2,00:48:27.177,93,27,42,Ball Receipt*,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,e999b33f-f0f9-4b56-a0d2-7f66b505817c,6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,49.1,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51732d20-71df-405b-a5d0-43698650a26f,3207,2,00:48:27.177,93,27,43,Carry,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,4.374582,,0c8e6980-a3fd-45d4-8cd5-e86f049b64a0,6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,49.1,29.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,43c24a35-9549-4619-86f3-00592c3036f7,,,46.4,46.2,,,,,,,,,,6708547d-3304-4af1-a807-43fdf1efb27c,,,,,,,,,,
43c24a35-9549-4619-86f3-00592c3036f7,3208,2,00:48:28.482,93,28,17,Pressure,202,360,Rayo Vallecano,1,Regular Play,213,Sevilla,0.441912,,51732d20-71df-405b-a5d0-43698650a26f,7154.0,Sebastián Carlos Cristóforo Pepe,11.0,Left Defensive Midfield,67.8,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c8e6980-a3fd-45d4-8cd5-e86f049b64a0,3209,2,00:48:31.552,93,31,30,Pass,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.6052,,45846583-e810-4c22-9d19-db1cdd973d7c,6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,46.4,46.2,11298.0,José Ignacio Martínez García,26.482069,1.453467,1.0,Ground Pass,49.5,72.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45846583-e810-4c22-9d19-db1cdd973d7c,3210,2,00:48:33.157,93,33,42,Ball Receipt*,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,0c8e6980-a3fd-45d4-8cd5-e86f049b64a0,11298.0,José Ignacio Martínez García,2.0,Right Back,49.5,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150097ad-da9e-4a8e-b27f-89860f81731b,3211,2,00:48:33.157,93,33,43,Carry,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.105455,,00f59eef-50ed-42d1-b1c7-4be9ff65cadf,11298.0,José Ignacio Martínez García,2.0,Right Back,49.5,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45846583-e810-4c22-9d19-db1cdd973d7c,,,49.5,72.6,,,,,,,,,,,,,,,,,,,,
00f59eef-50ed-42d1-b1c7-4be9ff65cadf,3212,2,00:48:35.263,93,35,30,Pass,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.381173,,0363778f-9f50-4961-ba6e-813eb363de9e,11298.0,José Ignacio Martínez García,2.0,Right Back,49.5,72.6,6713.0,Diego Javier Llorente Ríos,13.480727,-2.2246828,1.0,Ground Pass,41.3,61.9,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0363778f-9f50-4961-ba6e-813eb363de9e,3213,2,00:48:36.644,93,36,42,Ball Receipt*,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,00f59eef-50ed-42d1-b1c7-4be9ff65cadf,6713.0,Diego Javier Llorente Ríos,5.0,Left Center Back,41.3,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a77fe924-189f-405a-9d1e-572a4b9d9af7,3214,2,00:48:36.644,93,36,43,Carry,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.237131,,0363778f-9f50-4961-ba6e-813eb363de9e,6713.0,Diego Javier Llorente Ríos,5.0,Left Center Back,41.3,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c86e1c3b-e849-4bde-a860-b50a9d842b5b,,,45.8,59.5,,,,,,,,,,,,,,,,,,,,
c86e1c3b-e849-4bde-a860-b50a9d842b5b,3215,2,00:48:37.881,93,37,30,Pass,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,4.725749,,0726d3e7-c0af-4c39-8e2a-d3f3ef938cc0,6713.0,Diego Javier Llorente Ríos,5.0,Left Center Back,45.8,59.5,,,72.994934,-0.4250402,3.0,High Pass,112.3,29.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,
0726d3e7-c0af-4c39-8e2a-d3f3ef938cc0,3216,2,00:48:42.607,93,42,2,Ball Recovery,202,360,Rayo Vallecano,1,Regular Play,213,Sevilla,0.0,,c86e1c3b-e849-4bde-a860-b50a9d842b5b,6823.0,Sergio Rico González,1.0,Goalkeeper,7.8,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6dd22e34-3f17-4a63-9813-4c6b1b8a8f52,3217,2,00:48:42.607,93,42,43,Carry,202,360,Rayo Vallecano,1,Regular Play,213,Sevilla,18.795885,,0726d3e7-c0af-4c39-8e2a-d3f3ef938cc0,6823.0,Sergio Rico González,1.0,Goalkeeper,7.8,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75ad347e-ffeb-4991-beea-7f613fac7399,,,15.9,48.8,,,,,,,,,,,,,,,,,,,,
75ad347e-ffeb-4991-beea-7f613fac7399,3218,2,00:49:01.403,94,1,30,Pass,202,360,Rayo Vallecano,1,Regular Play,213,Sevilla,2.910595,,,6823.0,Sergio Rico González,1.0,Goalkeeper,15.9,48.8,,,56.64274,-0.4336408,3.0,High Pass,67.3,25.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,77.0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
be47a2c9-305f-4eeb-96f4-5ad6649c4ee7,3219,2,00:49:03.673,94,3,34,Half End,202,360,Rayo Vallecano,1,Regular Play,213,Sevilla,0.0,,08a0d817-7f5d-4f72-b91e-1323bdda47a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08a0d817-7f5d-4f72-b91e-1323bdda47a0,3220,2,00:49:03.673,94,3,34,Half End,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,be47a2c9-305f-4eeb-96f4-5ad6649c4ee7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
