id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,related_events,off_camera,player,position,location,pass,carry,ball_receipt,under_pressure,duel,clearance,counterpress,dribble,shot,goalkeeper,interception,foul_committed,foul_won,ball_recovery,out,miscontrol,block,substitution,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_1,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_2,pass_aerial_won,duel_type_id,duel_type_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head
f6fa8ba7-b699-4fb5-afd3-60da68e3c213,11,1,00:00:04.303,0,4,42,Ball Receipt*,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194d7eed-d399-4836-ac80-bbeb0d4e176a,27144.0,Antonio Amaya Carazo,5.0,Left Center Back,39.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
74e072ad-d230-4a20-ac0d-a66d577dea36,12,1,00:00:04.303,0,4,43,Carry,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.29805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9cf9a95c-7f3e-4632-805e-ecd6b05f1058,27144.0,Antonio Amaya Carazo,5.0,Left Center Back,39.0,21.1,,,,,,,,,,,,,f6fa8ba7-b699-4fb5-afd3-60da68e3c213,44.8,16.1,,,,,,,,,,,,
9cf9a95c-7f3e-4632-805e-ecd6b05f1058,13,1,00:00:05.601,0,5,30,Pass,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,2.759108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20d06ee9-6f69-46ea-9ee9-75b84e3995b7,27144.0,Antonio Amaya Carazo,5.0,Left Center Back,44.8,16.1,11542.0,Javier Guerra Rodríguez,49.825695,-0.032117467,3.0,High Pass,94.6,14.5,38.0,Left Foot,,,2d1c40f5-159d-443c-9959-d16b896b5ccf,,,9.0,Incomplete,,,,,,,,,,
ef8a7fd6-14f7-4885-a70d-d8d9f4172b43,14,1,00:00:05.677,0,5,17,Pressure,2,360,Rayo Vallecano,9,From Kick Off,215,Athletic Club,0.206594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6394.0,Aritz Aduriz Zubeldia,23.0,Center Forward,72.1,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d1c40f5-159d-443c-9959-d16b896b5ccf,15,1,00:00:08.360,0,8,42,Ball Receipt*,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9cf9a95c-7f3e-4632-805e-ecd6b05f1058,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,93.0,13.9,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,
20d06ee9-6f69-46ea-9ee9-75b84e3995b7,16,1,00:00:08.360,0,8,30,Pass,2,360,Rayo Vallecano,9,From Kick Off,215,Athletic Club,1.198165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,5f8ea54f-5251-4e31-a814-03938867b6f5,6788.0,Xabier Etxeita Gorritxategi,3.0,Right Center Back,25.5,65.6,,,13.90899,0.4540016,2.0,Low Pass,38.0,71.7,,,66.0,Recovery,9cf9a95c-7f3e-4632-805e-ecd6b05f1058,,,9.0,Incomplete,,,e49aa4e7-fedd-4200-9962-91483d909f65,True,,,,,,
e49aa4e7-fedd-4200-9962-91483d909f65,17,1,00:00:08.360,0,8,4,Duel,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,20d06ee9-6f69-46ea-9ee9-75b84e3995b7,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,94.6,14.5,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,
5f8ea54f-5251-4e31-a814-03938867b6f5,18,1,00:00:09.559,0,9,30,Pass,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.855742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20d06ee9-6f69-46ea-9ee9-75b84e3995b7,4711.0,Pablo Hernández Domínguez,21.0,Left Wing,82.1,8.4,11542.0,Javier Guerra Rodríguez,11.072489,-0.2931869,2.0,Low Pass,92.7,5.2,37.0,Head,66.0,Recovery,3963d030-27d3-4f13-969f-e73b38c46639,,,,,,,,,,,,,,
3963d030-27d3-4f13-969f-e73b38c46639,19,1,00:00:10.414,0,10,42,Ball Receipt*,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8ea54f-5251-4e31-a814-03938867b6f5,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,92.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0522bc6-f9e9-4436-8101-0d264d6cba5c,20,1,00:00:10.414,0,10,43,Carry,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.534504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,3963d030-27d3-4f13-969f-e73b38c46639,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,92.7,5.2,,,,,,,,,,,,,41015bc4-8a22-43bf-99f0-85c3220e24e1,91.9,5.5,,,,,8aaadbe1-1294-4da4-806c-da0a5aaf7bbb,,,,,,,
