id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,clearance,counterpress,dribble,duel,interception,off_camera,out,foul_won,block,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,ball_recovery,foul_committed,miscontrol,50_50,bad_behaviour,substitution,related_events,location,goalkeeper,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,foul_won_defensive,player,position
87c1639f-783c-4a00-ae33-1917e5c48faf,3373,2,00:44:28.949,89,28,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,2.347082,,e7d4f4a6-36e8-4c5d-aca8-bc893bede377,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,38.9,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,24.788101,-1.3346237,1.0,Ground Pass,44.7,31.1,40.0,Right Foot,,,,,,,,,,,,,,
2b7f8ddb-deec-478b-ac5c-7d7c6ed86ccc,3376,2,00:44:31.939,89,31,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,1.449624,,24f8c776-2b70-4b0b-9f92-ebc77040d7c7,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,43.2,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,24.05847,-0.8707361,1.0,Ground Pass,58.7,8.7,40.0,Right Foot,,,,,,,,,,,,,,
b8e16faa-46d9-44d6-b2ce-cf78e6189c0b,3379,2,00:44:33.429,89,33,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,1.370937,,dec62e41-d90e-4255-9784-f5994de24706,5211.0,Jordi Alba Ramos,6.0,Left Back,58.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,16.34044,2.2216413,1.0,Ground Pass,48.8,21.7,38.0,Left Foot,,,,,,,,,,,,,,
ea09694e-ac6a-4cac-a5f6-ea78bdbef65b,3382,2,00:44:36.376,89,36,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,1.167458,,12ff4afa-22a0-4130-8448-988f8aa1ad85,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,44.6,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,22.011814,0.49209523,1.0,Ground Pass,64.0,36.9,40.0,Right Foot,,,,,,,,,,,,,,
0d5ac38d-0adb-456d-bef7-356cb7bc1df1,3385,2,00:44:38.630,89,38,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,2.473011,,47e7b08a-ec6c-4605-bdb0-fc7d6b746d4f,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,63.2,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,40.792156,-0.72989964,3.0,High Pass,93.6,11.6,40.0,Right Foot,,,,,,,,,,,,,,
900e5390-f3f7-4d75-a8c1-109f2026bd35,3388,2,00:44:44.635,89,44,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,0.4564,,671c9362-852d-446c-b02f-d9a9857ec3d5,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,101.1,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,6.842514,2.0409799,1.0,Ground Pass,98.0,28.0,40.0,Right Foot,,,,,,,,,,,,,,
69f0ee22-1383-4ce6-858b-30e50812ab00,3391,2,00:44:45.131,89,45,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,0.2543,,b00732ce-5612-47bd-a841-71991d2d1180,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,98.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fcfc67f5-e779-4d73-b8fa-eb95dfd31e81,,,,4320.0,Neymar da Silva Santos Junior,4.6270943,-0.10827059,1.0,Ground Pass,102.6,27.5,40.0,Right Foot,9.0,Incomplete,,,,,,,,,,,,
d31f3f8a-b475-490f-915f-68af42989a40,3408,2,00:46:29.439,91,29,30,Pass,161,217,Barcelona,4,From Throw In,217,Barcelona,2.557844,,c9cc2f89-60b8-42d2-aefa-98b5dd20d9eb,5211.0,Jordi Alba Ramos,6.0,Left Back,43.2,0.1,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,24.891766,2.9883325,3.0,High Pass,18.6,3.9,,,,,,,67.0,Throw-in,,,,,,,,
3655db8d-3763-46a9-a76a-404b4de2aeac,3410,2,00:46:34.875,91,34,30,Pass,161,217,Barcelona,4,From Throw In,217,Barcelona,2.157209,,2fef20d2-0703-4ad7-ad7c-a2e8d4fc1255,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,23.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,40.803062,0.012254288,3.0,High Pass,64.5,8.0,40.0,Right Foot,,,,,,,,,,,,,,
153cf396-1fb3-47da-bb32-e19148dfaa15,3413,2,00:46:37.182,91,37,30,Pass,161,217,Barcelona,4,From Throw In,217,Barcelona,0.3645,,8523f570-5233-47b2-85b0-6f9df4f05d70,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,64.5,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a2ab009c-638e-4135-b2f1-108c5892e68a,,,,6998.0,Rafael Alcântara do Nascimento,4.313931,2.3398025,2.0,Low Pass,61.5,11.3,70.0,Other,9.0,Incomplete,,,,,,,,,,,,
a62d03bd-6d12-4210-990b-752154f6e340,3445,2,00:48:18.225,93,18,30,Pass,165,217,Barcelona,3,From Free Kick,217,Barcelona,2.3782,,,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,11.4,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.87552,0.5439986,3.0,High Pass,72.9,73.6,40.0,Right Foot,77.0,Unknown,,,62.0,Free Kick,,,,,,,,
