id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,foul_committed,foul_won,ball_receipt,out,clearance,counterpress,dribble,duel,50_50,interception,ball_recovery,block,miscontrol,substitution,bad_behaviour,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cross,foul_committed_penalty,foul_won_penalty,bad_behaviour_card_id,bad_behaviour_card_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name
258daf49-b8b0-4eaa-8283-f0aca54bbd22,2454,2,00:15:49.328,60,49,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,0.3831,,8a085818-1ed5-4124-9ab9-8a31f4b33c75,,6593,Martín Montoya Torralbo,2,Right Back,69.1,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,4.494441,-1.00748,1.0,Ground Pass,71.5,60.9,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afda3bfd-0217-452f-b48b-44a4594e7b12,2457,2,00:15:51.594,60,51,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,0.47,,6779d435-a8a4-43ee-a9a3-173bcc190ba6,,5470,Ivan Rakitić,13,Right Center Midfield,76.6,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3958.0,Pedro Eliezer Rodríguez Ledesma,7.3437047,-0.109153464,1.0,Ground Pass,83.9,61.2,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5733d0a-ef16-4cd9-98a8-6fe21007494f,2459,2,00:15:52.064,60,52,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,1.0769,,b5ab20f9-5f7a-45d1-9c54-db456e7e9d2b,,3958,Pedro Eliezer Rodríguez Ledesma,23,Center Forward,83.9,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,14.852946,1.0800469,1.0,Ground Pass,90.9,74.3,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b490c13-583a-4576-bcc8-e1075a4c7010,2462,2,00:15:55.365,60,55,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,0.9192,,9496bde3-e25f-458c-b344-8c90975dcbd1,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,96.7,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,8.807384,-1.7882338,1.0,Ground Pass,94.8,63.3,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63da55c8-cc6c-4cec-9383-713407316abd,2466,2,00:15:56.394,60,56,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,1.8833,,463f8b45-8a19-4314-94ee-93051dbd457d,,5470,Ivan Rakitić,13,Right Center Midfield,94.6,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,3958.0,Pedro Eliezer Rodríguez Ledesma,10.722406,-0.3423966,1.0,Ground Pass,104.7,59.3,,,,,,,40.0,Right Foot,,76.0,Pass Offside,,,,,,,,,,,,,,,,,,,,,,,,,
c1ef9893-1076-4eb2-a83e-934ba7cf8f6d,2490,2,00:17:06.196,62,6,30,Pass,113,217,Barcelona,1,Regular Play,217,Barcelona,1.447606,,cb5554fb-531a-418c-803c-a11df8d9dbf5,,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,1.3,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,12.963024,-0.90569365,1.0,Ground Pass,9.3,15.9,,,,,,,69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12297269-f41a-41da-93f0-e3fa98945a93,2493,2,00:17:13.069,62,13,30,Pass,113,217,Barcelona,1,Regular Play,217,Barcelona,2.3732,,cb7b997e-ffbf-4ede-aaef-b3bc464bff22,,5506,Javier Alejandro Mascherano,3,Right Center Back,20.1,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6593.0,Martín Montoya Torralbo,37.792328,1.1770229,2.0,Low Pass,34.6,58.0,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296dccc3-ef73-49da-977a-be085d9ae72c,2496,2,00:17:18.266,62,18,30,Pass,113,217,Barcelona,1,Regular Play,217,Barcelona,1.2127,,ac852cfc-ef49-41f9-8447-6f9a819a20bb,,6593,Martín Montoya Torralbo,2,Right Back,50.9,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6379.0,Sergi Roberto Carnicer,15.431137,-0.8312376,1.0,Ground Pass,61.3,60.9,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcb2aceb-3854-4a87-ab4d-9e22d3d62e06,2499,2,00:17:19.559,62,19,30,Pass,113,217,Barcelona,1,Regular Play,217,Barcelona,1.049299,,5fb73c99-db36-4b54-866f-a4b5d84dcedc,,6379,Sergi Roberto Carnicer,13,Right Center Midfield,61.3,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,6593.0,Martín Montoya Torralbo,9.231468,2.2641478,1.0,Ground Pass,55.4,68.0,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8220f0c1-a7f4-413a-a027-485978664ba8,2501,2,00:17:20.608,62,20,30,Pass,113,217,Barcelona,1,Regular Play,217,Barcelona,1.0263,,f866bcdf-c55d-49e2-b699-4375aac75cdd,,6593,Martín Montoya Torralbo,2,Right Back,55.5,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,15.394155,-1.9500965,1.0,Ground Pass,49.8,53.7,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
