id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,counterpress,clearance,duel,dribble,interception,out,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,foul_won,off_camera,foul_committed,50_50,ball_recovery,substitution,bad_behaviour,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,goalkeeper,related_events_1,related_events_2,related_events_3,carry_end_location_0,carry_end_location_1,pass_body_part_id,pass_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,related_events_4,related_events_5,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events_6,related_events_7,pass_switch,interception_outcome_id,interception_outcome_name,related_events,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name
3acc61f8-7d3d-40ed-9cf2-81346f98ac33,3471,2,00:45:43.539,90,43,42,Ball Receipt*,175,217,Barcelona,8,From Keeper,217,Barcelona,,,2b7f5358-0695-445d-bfba-b3eb50af3955,4324,Daniel Alves da Silva,2,Right Back,62.3,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584ab8d-11bc-48aa-b9df-35a8a541621e,3472,2,00:45:43.539,90,43,43,Carry,175,217,Barcelona,8,From Keeper,217,Barcelona,5.270989,,3acc61f8-7d3d-40ed-9cf2-81346f98ac33,4324,Daniel Alves da Silva,2,Right Back,62.3,74.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61a9a771-3caf-4544-8985-82569606247d,7d7f0a76-ca39-4b05-befc-129529747477,,92.6,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61a9a771-3caf-4544-8985-82569606247d,3473,2,00:45:48.482,90,48,17,Pressure,175,217,Barcelona,8,From Keeper,210,Real Sociedad,0.9528,,1584ab8d-11bc-48aa-b9df-35a8a541621e,6899,Rubén Pardo Gutiérrez,9,Right Defensive Midfield,28.7,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7d7f0a76-ca39-4b05-befc-129529747477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d7f0a76-ca39-4b05-befc-129529747477,3474,2,00:45:48.810,90,48,30,Pass,175,217,Barcelona,8,From Keeper,217,Barcelona,0.6993,,465d7fae-8e07-49db-a18e-7dc27f66fce6,4324,Daniel Alves da Silva,2,Right Back,92.6,65.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,15.532225,-1.2225754,1.0,Ground Pass,97.9,50.5,,,,61a9a771-3caf-4544-8985-82569606247d,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465d7fae-8e07-49db-a18e-7dc27f66fce6,3475,2,00:45:49.510,90,49,42,Ball Receipt*,175,217,Barcelona,8,From Keeper,217,Barcelona,,,7d7f0a76-ca39-4b05-befc-129529747477,5246,Luis Alberto Suárez Díaz,23,Center Forward,97.9,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95fe6cd5-c8d5-41b3-9d4c-71e89405f472,3476,2,00:45:49.510,90,49,43,Carry,175,217,Barcelona,8,From Keeper,217,Barcelona,0.9513,,465d7fae-8e07-49db-a18e-7dc27f66fce6,5246,Luis Alberto Suárez Díaz,23,Center Forward,97.9,50.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58a160e0-35ab-4a41-9189-b7b9e3babce5,726701a9-cc8b-4ad0-9456-def665c4918d,,100.2,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726701a9-cc8b-4ad0-9456-def665c4918d,3477,2,00:45:50.461,90,50,39,Dribbled Past,175,217,Barcelona,8,From Keeper,210,Real Sociedad,0.0,,58a160e0-35ab-4a41-9189-b7b9e3babce5,6665,Íñigo Martínez Berridi,5,Left Center Back,19.9,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95fe6cd5-c8d5-41b3-9d4c-71e89405f472,ad5d893a-c1ea-47cb-b8be-758bfaa51b40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58a160e0-35ab-4a41-9189-b7b9e3babce5,3478,2,00:45:50.461,90,50,14,Dribble,175,217,Barcelona,8,From Keeper,217,Barcelona,0.0,,726701a9-cc8b-4ad0-9456-def665c4918d,5246,Luis Alberto Suárez Díaz,23,Center Forward,100.2,53.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,
ad5d893a-c1ea-47cb-b8be-758bfaa51b40,3479,2,00:45:50.461,90,50,43,Carry,175,217,Barcelona,8,From Keeper,217,Barcelona,0.807318,,58a160e0-35ab-4a41-9189-b7b9e3babce5,5246,Luis Alberto Suárez Díaz,23,Center Forward,100.2,53.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726701a9-cc8b-4ad0-9456-def665c4918d,e10b7a41-4f3f-4c24-8eb4-ff05ae85c239,,103.9,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e10b7a41-4f3f-4c24-8eb4-ff05ae85c239,3480,2,00:45:51.268,90,51,3,Dispossessed,175,217,Barcelona,8,From Keeper,217,Barcelona,0.0,,8aa132a8-dafc-4795-8120-ba8cfb9706ef,5246,Luis Alberto Suárez Díaz,23,Center Forward,103.9,52.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
