id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,off_camera,dribble,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,counterpress,duel,clearance,out,interception,ball_recovery,miscontrol,foul_committed,foul_won,block,substitution,injury_stoppage,related_events_1,related_events_2,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_aerial_won,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,related_events,related_events_3,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_cross,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,ball_recovery_recovery_failure,player,position,location
6f32faf0-c5d5-47cd-b0b2-103226087c19,3192,2,00:38:40.195,83,40,4,Duel,212,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,0.0,,1a0b3855-a7ad-4e39-8ebc-0a96847cc7ee,26690.0,Alberto Mateus Contreiras Gonçalves,24.0,Left Center Forward,78.3,16.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,
d28d6ddf-1655-4eec-8830-d8d2d1b1f6f7,3193,2,00:38:41.957,83,41,17,Pressure,212,360,Rayo Vallecano,7,From Goal Kick,222,Villarreal,0.345108,,ace3c083-d3c5-44bb-a661-8f1d7b07e5a1,6771.0,Manuel Trigueros Muñoz,9.0,Right Defensive Midfield,54.4,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,bfae79ef-b4c8-44ac-ab59-e7eb9f259263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af8900ac-c4fc-4367-b029-414345d6f918,3194,2,00:38:42.007,83,42,42,Ball Receipt*,212,360,Rayo Vallecano,7,From Goal Kick,222,Villarreal,,,1a0b3855-a7ad-4e39-8ebc-0a96847cc7ee,6862.0,Cédric Bakambu,22.0,Right Center Forward,57.4,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,
bfae79ef-b4c8-44ac-ab59-e7eb9f259263,3195,2,00:38:42.007,83,42,2,Ball Recovery,212,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,0.0,,1a0b3855-a7ad-4e39-8ebc-0a96847cc7ee,26685.0,Nicolás Ladislao Fedor Flores,16.0,Left Midfield,66.6,16.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,d28d6ddf-1655-4eec-8830-d8d2d1b1f6f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace3c083-d3c5-44bb-a661-8f1d7b07e5a1,3196,2,00:38:42.007,83,42,43,Carry,212,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,0.311517,,bfae79ef-b4c8-44ac-ab59-e7eb9f259263,26685.0,Nicolás Ladislao Fedor Flores,16.0,Left Midfield,66.6,16.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,d28d6ddf-1655-4eec-8830-d8d2d1b1f6f7,db01600b-6512-4c5a-94d8-10318bf2ec99,,,,,,,,,,,,,69.4,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,
db01600b-6512-4c5a-94d8-10318bf2ec99,3197,2,00:38:42.318,83,42,38,Miscontrol,212,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,0.0,,,26685.0,Nicolás Ladislao Fedor Flores,16.0,Left Midfield,69.4,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064755d-203c-4cfc-8527-924806ff1592,3198,2,00:38:43.033,83,43,30,Pass,212,360,Rayo Vallecano,7,From Goal Kick,222,Villarreal,0.846684,,51dbecf8-e7b9-4d85-b3b7-f6211c28210a,6765.0,Rodrigo Hernández Cascante,11.0,Left Defensive Midfield,46.5,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6772.0,Mario Gaspar Pérez Martínez,15.716552,1.8945589,1.0,Ground Pass,41.5,70.3,,66.0,Recovery,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,
51dbecf8-e7b9-4d85-b3b7-f6211c28210a,3199,2,00:38:43.879,83,43,42,Ball Receipt*,212,360,Rayo Vallecano,7,From Goal Kick,222,Villarreal,,,1064755d-203c-4cfc-8527-924806ff1592,6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,41.5,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1cd36d94-94aa-4ce9-858e-c16271b56cbc,3200,2,00:38:43.879,83,43,43,Carry,212,360,Rayo Vallecano,7,From Goal Kick,222,Villarreal,0.030186,,22bc2892-6512-4c1c-b42b-342902cf6e28,6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,41.5,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,51dbecf8-e7b9-4d85-b3b7-f6211c28210a,,,,,,,,,,,,,,42.4,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,
22bc2892-6512-4c1c-b42b-342902cf6e28,3201,2,00:38:43.910,83,43,30,Pass,212,360,Rayo Vallecano,7,From Goal Kick,222,Villarreal,0.924782,,bcd0297f-b86e-4419-aac1-f726e6a2cc09,6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,42.4,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,febb162d-e540-43f4-b657-b82e01ef1fd9,,6771.0,Manuel Trigueros Muñoz,14.96262,-0.66221553,1.0,Ground Pass,54.2,60.3,,,,,,,40.0,Right Foot,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,
