id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,under_pressure,out,ball_receipt,off_camera,duel,clearance,counterpress,dribble,foul_committed,foul_won,interception,shot,goalkeeper,block,ball_recovery,substitution,pass,pass_switch,related_events,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,duel_type_id,duel_type_name,interception_outcome_id,interception_outcome_name,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,related_events_3,related_events_4,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_deflected,ball_recovery_recovery_failure,pass_cross,dribble_overrun,duel_outcome_id,duel_outcome_name
a2cbe164-b262-4d5f-82c7-0c886880b607,2846,2,00:35:06.869,80,6,30,Pass,160,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,3.6585,,3572433b-ee64-4065-9e57-5fcf81ade13b,24255,Juan Carlos Martín Corral,1,Goalkeeper,7.0,44.1,11542.0,Javier Guerra Rodríguez,78.896515,0.10029925,3.0,High Pass,85.5,52.0,63.0,Goal Kick,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,a9c6540e-7307-4c20-b6fe-972d794c98bb,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9c6540e-7307-4c20-b6fe-972d794c98bb,2847,2,00:35:10.528,80,10,42,Ball Receipt*,160,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,,,a2cbe164-b262-4d5f-82c7-0c886880b607,11542,Javier Guerra Rodríguez,23,Center Forward,84.1,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,
0c5993f2-2770-467e-ac5a-6c4c29aaaa9c,2848,2,00:35:10.528,80,10,4,Duel,160,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,0.0,,3572433b-ee64-4065-9e57-5fcf81ade13b,11542,Javier Guerra Rodríguez,23,Center Forward,85.5,52.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,
21845fca-7222-4c64-8135-b699b998401f,2882,2,00:35:49.793,80,49,30,Pass,162,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.3234,,b0da2125-35f2-4111-9f08-457f74adc6d6,24138,Joaquín José Marín Ruiz,2,Right Back,17.2,80.0,11542.0,Javier Guerra Rodríguez,15.966214,-0.21459287,3.0,High Pass,32.8,76.6,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0da2125-35f2-4111-9f08-457f74adc6d6,2883,2,00:35:51.117,80,51,42,Ball Receipt*,162,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,21845fca-7222-4c64-8135-b699b998401f,11542,Javier Guerra Rodríguez,23,Center Forward,32.8,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d12a9b17-f084-4ed9-9f27-3830564c7492,2884,2,00:35:51.154,80,51,30,Pass,162,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.8133,,6ffe35fe-a7a9-45a6-9dd6-17095c918ac2,11542,Javier Guerra Rodríguez,23,Center Forward,33.8,78.9,11539.0,Adrián Embarba Blázquez,10.204411,-0.4241944,3.0,High Pass,43.1,74.7,,,37.0,Head,,,,,,,,,,,,,,,,,,,,,88a185cc-df49-482f-a42b-866179773541,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ffe35fe-a7a9-45a6-9dd6-17095c918ac2,2885,2,00:35:51.967,80,51,42,Ball Receipt*,162,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,d12a9b17-f084-4ed9-9f27-3830564c7492,11539,Adrián Embarba Blázquez,13,Right Center Midfield,44.3,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,
88a185cc-df49-482f-a42b-866179773541,2886,2,00:35:51.967,80,51,10,Interception,162,360,Rayo Vallecano,4,From Throw In,217,Barcelona,0.0,,d12a9b17-f084-4ed9-9f27-3830564c7492,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,77.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,
b9a6a853-a862-4b64-b35e-4add936c6352,2887,2,00:36:08.359,81,8,30,Pass,163,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.3744,,6169fd7f-64b5-451c-8cbb-4f7f0e979815,24138,Joaquín José Marín Ruiz,2,Right Back,43.9,80.0,11542.0,Javier Guerra Rodríguez,26.555979,-0.18557927,3.0,High Pass,70.0,75.1,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6169fd7f-64b5-451c-8cbb-4f7f0e979815,2888,2,00:36:09.733,81,9,42,Ball Receipt*,163,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,b9a6a853-a862-4b64-b35e-4add936c6352,11542,Javier Guerra Rodríguez,23,Center Forward,70.0,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
