id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry,duel,out,counterpress,ball_receipt,clearance,shot,goalkeeper,foul_committed,foul_won,dribble,ball_recovery,interception,block,substitution,miscontrol,bad_behaviour,pass,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,related_events,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,related_events_3,duel_outcome_id,duel_outcome_name,pass_cross
7bbb244a-069f-42dd-9da7-dbe8d025c0ab,3433,2,00:47:23.484,92,23,30,Pass,239,360,Rayo Vallecano,3,From Free Kick,207,Valencia,1.227394,,2fd64755-1d7c-4148-9765-70b5ae113c08,,7005,João Pedro Cavaco Cancelo,2,Right Back,42.4,56.2,5718.0,Rodrigo Moreno Machado,23.47765,0.40265465,2.0,Low Pass,64.0,65.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,51c9c948-46b1-4db3-89c1-e4a875185ed1,,,,9.0,Incomplete,,,,,,,,,,,,,,
51c9c948-46b1-4db3-89c1-e4a875185ed1,3434,2,00:47:24.711,92,24,42,Ball Receipt*,239,360,Rayo Vallecano,3,From Free Kick,207,Valencia,,,7bbb244a-069f-42dd-9da7-dbe8d025c0ab,,5718,Rodrigo Moreno Machado,12,Right Midfield,62.5,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,
2fd64755-1d7c-4148-9765-70b5ae113c08,3435,2,00:47:24.711,92,24,10,Interception,239,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.0,,7bbb244a-069f-42dd-9da7-dbe8d025c0ab,,11298,José Ignacio Martínez García,6,Left Back,56.1,14.7,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,
e24f32e4-1e4d-4285-843d-afcfd30729b1,3436,2,00:47:24.711,92,24,43,Carry,239,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,3.76548,,11a0176c-38a4-4ea0-94bf-b0cc3029f1ef,,11298,José Ignacio Martínez García,6,Left Back,56.1,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2fd64755-1d7c-4148-9765-70b5ae113c08,,74.5,13.8,,,,,,,,,,,,,,,,
11a0176c-38a4-4ea0-94bf-b0cc3029f1ef,3437,2,00:47:28.477,92,28,30,Pass,239,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.718385,,d71b5fb2-1afd-442b-86e5-9269e326f34c,,11298,José Ignacio Martínez García,6,Left Back,74.5,13.8,26848.0,Roberto Trashorras Gayoso,8.616263,1.9513026,1.0,Ground Pass,71.3,21.8,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d71b5fb2-1afd-442b-86e5-9269e326f34c,3438,2,00:47:29.195,92,29,42,Ball Receipt*,239,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,11a0176c-38a4-4ea0-94bf-b0cc3029f1ef,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,71.3,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5e5bc9d-560a-4809-bf6c-69bc20ed2d66,3439,2,00:47:29.195,92,29,43,Carry,239,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.467616,,c45d09d2-5d48-4bc1-97d8-0acc880f19a3,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,71.3,21.8,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,d71b5fb2-1afd-442b-86e5-9269e326f34c,e06b57b0-466e-4b65-b766-aad084faab90,72.8,21.8,,,,,,,,,,,,,,,,
c45d09d2-5d48-4bc1-97d8-0acc880f19a3,3440,2,00:47:29.359,92,29,17,Pressure,239,360,Rayo Vallecano,3,From Free Kick,207,Valencia,0.404934,,e06b57b0-466e-4b65-b766-aad084faab90,,6595,Daniel Parejo Muñoz,10,Center Defensive Midfield,45.0,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f5e5bc9d-560a-4809-bf6c-69bc20ed2d66,,,,,,,,,,,,,,,,,,,
e06b57b0-466e-4b65-b766-aad084faab90,3441,2,00:47:29.663,92,29,30,Pass,239,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.814071,,28f1dde0-2fec-4ec2-81c5-235f91429df9,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,72.8,21.8,26607.0,José Raúl Baena Urdiales,9.80051,-2.5082953,1.0,Ground Pass,64.9,16.0,40.0,Right Foot,,,True,,,,,,,,,,,,,,,,,,,c45d09d2-5d48-4bc1-97d8-0acc880f19a3,,,,,,,,,,,,,,,,,,,
28f1dde0-2fec-4ec2-81c5-235f91429df9,3442,2,00:47:30.477,92,30,42,Ball Receipt*,239,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,e06b57b0-466e-4b65-b766-aad084faab90,,26607,José Raúl Baena Urdiales,19,Center Attacking Midfield,64.9,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
