id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,ball_receipt,under_pressure,duel,out,clearance,carry,dribble,counterpress,foul_won,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception,shot,50_50,foul_committed,miscontrol,substitution,ball_recovery,related_events,goalkeeper,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_switch,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location_0,carry_end_location_1,related_events_2,pass_cross,pass_outcome_id,pass_outcome_name,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,related_events_3,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,foul_committed_advantage,foul_won_advantage,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,clearance_aerial_won,clearance_left_foot
52919c60-2db5-42ba-8605-2cb7008e7da0,3090,2,00:46:07.045,91,7,43,Carry,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,1.253238,,074b90f9-51f1-4b1a-b754-bf8a86525fbc,,10727,Răzvan Dincă Raț,6,Left Back,84.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,09c3a2db-763f-4628-94e4-93ca10289828,,,,,,,,,,,,,,85.4,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09c3a2db-763f-4628-94e4-93ca10289828,3091,2,00:46:08.298,91,8,30,Pass,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,1.14374,,ebfbedd4-b41a-48c7-9c58-f9bf5c01e1b2,,10727,Răzvan Dincă Raț,6,Left Back,85.4,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900.0,Tiago Manuel Dias Correia,11.484337,1.8622531,1.0,Ground Pass,82.1,22.1,,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebfbedd4-b41a-48c7-9c58-f9bf5c01e1b2,3092,2,00:46:09.442,91,9,42,Ball Receipt*,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,09c3a2db-763f-4628-94e4-93ca10289828,,7900,Tiago Manuel Dias Correia,21,Left Wing,82.1,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db81b7e3-9989-45ce-9f94-248ceb62c091,3093,2,00:46:09.442,91,9,43,Carry,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,0.618179,,e7a645e1-d054-42c6-b676-81769eb34b84,,7900,Tiago Manuel Dias Correia,21,Left Wing,82.1,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ebfbedd4-b41a-48c7-9c58-f9bf5c01e1b2,,,,,,,,,,,,,,83.3,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7a645e1-d054-42c6-b676-81769eb34b84,3094,2,00:46:10.060,91,10,30,Pass,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,1.753148,,11620eaf-57db-41dd-99f8-1e1442866765,,7900,Tiago Manuel Dias Correia,21,Left Wing,83.3,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10727.0,Răzvan Dincă Raț,11.1830225,-1.345338,1.0,Ground Pass,85.8,10.3,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11620eaf-57db-41dd-99f8-1e1442866765,3095,2,00:46:11.813,91,11,42,Ball Receipt*,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,e7a645e1-d054-42c6-b676-81769eb34b84,,10727,Răzvan Dincă Raț,6,Left Back,85.8,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96dd4d13-7e44-473b-9c06-5a87c178bee5,3096,2,00:46:11.813,91,11,43,Carry,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,3.002014,,04a8e959-a3c6-43e1-8081-f2143489adcd,,10727,Răzvan Dincă Raț,6,Left Back,85.8,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,11620eaf-57db-41dd-99f8-1e1442866765,,,,,,,,,,,,,,87.6,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04a8e959-a3c6-43e1-8081-f2143489adcd,3097,2,00:46:14.815,91,14,30,Pass,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,1.776598,,4714f1e6-d8d3-4a71-8893-0d6a5bec0bee,,10727,Răzvan Dincă Raț,6,Left Back,87.6,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900.0,Tiago Manuel Dias Correia,11.574541,2.2644284,1.0,Ground Pass,80.2,20.2,,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4714f1e6-d8d3-4a71-8893-0d6a5bec0bee,3098,2,00:46:16.592,91,16,42,Ball Receipt*,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,04a8e959-a3c6-43e1-8081-f2143489adcd,,7900,Tiago Manuel Dias Correia,21,Left Wing,80.2,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ff1b8fd-3e09-410d-93c7-056b6ad39208,3099,2,00:46:16.592,91,16,43,Carry,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,1.334856,,4714f1e6-d8d3-4a71-8893-0d6a5bec0bee,,7900,Tiago Manuel Dias Correia,21,Left Wing,80.2,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6db9e6be-4707-4dae-820f-796486e505cc,,,,,,,,,,,,,,79.5,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
