id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,dribble,duel,interception,out,miscontrol,foul_won,clearance,foul_committed,substitution,shot,goalkeeper,ball_recovery,block,pass,duel_type_id,duel_type_name,related_events_1,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_2,pass_body_part_id,pass_body_part_name,carry_end_location_0,carry_end_location_1,interception_outcome_id,interception_outcome_name,related_events,dribble_outcome_id,dribble_outcome_name,related_events_3,related_events_4,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,clearance_right_foot
4b551e5c-2554-4a72-bce6-d1ada4fa5fa0,113,1,00:02:02.727,2,2,43,Carry,5,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.122163,,136635ac-17bb-4785-b13e-773e8cfe2c55,,9246,Patrick Ebert,19,Center Attacking Midfield,68.4,39.2,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,5b751574-87d4-4dad-875f-6434519cfa61,,,,,,dd970a20-f616-4f8a-9ff5-c8cebb57d213,,,66.6,38.6,,,,,,,,,,,,,
136635ac-17bb-4785-b13e-773e8cfe2c55,114,1,00:02:02.849,2,2,30,Pass,5,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.594375,,725aec77-51e5-4155-b4ba-c0588890885c,,9246,Patrick Ebert,19,Center Attacking Midfield,66.6,38.6,7900.0,Tiago Manuel Dias Correia,37.656605,-0.687598,1.0,Ground Pass,95.7,14.7,,,,True,,,,,,,,,,,,,,,,,,,dd970a20-f616-4f8a-9ff5-c8cebb57d213,,9.0,Incomplete,,,e6fd715f-f25e-497b-bd3a-523f4748199f,40.0,Right Foot,,,,,,,,,,,,,,,
e6fd715f-f25e-497b-bd3a-523f4748199f,115,1,00:02:05.443,2,5,42,Ball Receipt*,5,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,136635ac-17bb-4785-b13e-773e8cfe2c55,,7900,Tiago Manuel Dias Correia,21,Left Wing,90.4,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,
1da61cbd-7311-47fb-8a0d-8ed567201deb,131,1,00:02:15.638,2,15,2,Ball Recovery,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,25dfd0ab-d5db-4568-bf51-e6b9ddae6582,,11298,José Ignacio Martínez García,6,Left Back,48.5,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e957dd2-3688-4e26-bae5-42f9fd1123fd,132,1,00:02:15.638,2,15,43,Carry,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.087829,,1da61cbd-7311-47fb-8a0d-8ed567201deb,,11298,José Ignacio Martínez García,6,Left Back,48.5,18.9,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,808a841d-7502-4be6-864f-5ae2d0ba71a6,,,,,,d3c0245c-083e-4f9b-903c-36ccccda5b8a,,,46.6,19.6,,,,,,,,,,,,,
d3c0245c-083e-4f9b-903c-36ccccda5b8a,133,1,00:02:16.653,2,16,17,Pressure,7,360,Rayo Vallecano,1,Regular Play,209,Celta Vigo,0.332367,,5e957dd2-3688-4e26-bae5-42f9fd1123fd,,5217,Iago Aspas Juncal,23,Center Forward,76.5,61.4,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,808a841d-7502-4be6-864f-5ae2d0ba71a6,,,,,,,,,,,,,,,,,,,,,,,
808a841d-7502-4be6-864f-5ae2d0ba71a6,134,1,00:02:16.725,2,16,30,Pass,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,3.142934,,d3c0245c-083e-4f9b-903c-36ccccda5b8a,,11298,José Ignacio Martínez García,6,Left Back,46.6,19.6,26070.0,Antonio Rodríguez Martínez,37.17486,2.5767202,1.0,Ground Pass,15.2,39.5,,,,True,,,,,,,,,,,,,,,,,,,fdd63d58-3887-43e5-8aba-ae64d7a380ac,,,,,,,38.0,Left Foot,,,,,,,,,,,,,,,
fdd63d58-3887-43e5-8aba-ae64d7a380ac,135,1,00:02:19.868,2,19,42,Ball Receipt*,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,808a841d-7502-4be6-864f-5ae2d0ba71a6,,26070,Antonio Rodríguez Martínez,1,Goalkeeper,15.2,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26a3c1f4-1957-405e-9526-7c2b253ec9b8,136,1,00:02:19.868,2,19,43,Carry,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.039999,,775093d5-aeb9-419a-9437-3f98452d202c,,26070,Antonio Rodríguez Martínez,1,Goalkeeper,15.2,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdd63d58-3887-43e5-8aba-ae64d7a380ac,,,,,,,,,14.8,39.4,,,,,,,,,,,,,
775093d5-aeb9-419a-9437-3f98452d202c,137,1,00:02:19.908,2,19,30,Pass,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.147237,,624cc058-3eb7-46d1-9324-54cf4e60a3dd,,26070,Antonio Rodríguez Martínez,1,Goalkeeper,14.8,39.4,26222.0,José Eduardo Rosa Vale de Castro,27.527441,-0.95054686,1.0,Ground Pass,30.8,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,
