id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,off_camera,dribble,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,counterpress,duel,clearance,out,interception,ball_recovery,miscontrol,foul_committed,foul_won,block,substitution,injury_stoppage,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,related_events_2,related_events,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,related_events_3,goalkeeper_body_part_id,goalkeeper_body_part_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_switch
669419eb-cc8c-4f70-9bed-76086f780a2a,805,1,00:17:12.646,17,12,42,Ball Receipt*,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,7c82ccc8-48b4-4074-9042-4f02087e1188,26685,Nicolás Ladislao Fedor Flores,24,Left Center Forward,42.5,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544a8bba-8eee-48ca-86d7-b751ba2dd6a5,806,1,00:17:12.646,17,12,43,Carry,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,4.715476,,07b8d014-f001-4cda-aaaa-b7af9543dd11,26685,Nicolás Ladislao Fedor Flores,24,Left Center Forward,42.5,62.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,669419eb-cc8c-4f70-9bed-76086f780a2a,,,,,,,,,,,,,,61.7,75.4,84250d58-8346-4787-b36f-4ff40f3a060a,,,,,,,,,,,,,,,,,
84250d58-8346-4787-b36f-4ff40f3a060a,807,1,00:17:15.330,17,15,17,Pressure,66,360,Rayo Vallecano,1,Regular Play,222,Villarreal,2.03109,,544a8bba-8eee-48ca-86d7-b751ba2dd6a5,6935,Adrián Marín Gómez,6,Left Back,64.8,4.3,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0b234b9-cfdc-4073-bf2f-64d3ff64c8ef,808,1,00:17:17.361,17,17,39,Dribbled Past,66,360,Rayo Vallecano,1,Regular Play,222,Villarreal,0.0,,07b8d014-f001-4cda-aaaa-b7af9543dd11,6935,Adrián Marín Gómez,6,Left Back,58.4,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,20d9a3bf-8e83-4ba1-ba26-c470940c234c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07b8d014-f001-4cda-aaaa-b7af9543dd11,809,1,00:17:17.361,17,17,14,Dribble,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,d0b234b9-cfdc-4073-bf2f-64d3ff64c8ef,26685,Nicolás Ladislao Fedor Flores,24,Left Center Forward,61.7,75.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,
20d9a3bf-8e83-4ba1-ba26-c470940c234c,810,1,00:17:17.361,17,17,43,Carry,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.575153,,07b8d014-f001-4cda-aaaa-b7af9543dd11,26685,Nicolás Ladislao Fedor Flores,24,Left Center Forward,61.7,75.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,49caa8fd-a06b-4304-a0f6-9da6c4833d1f,,,,,,,,,,,,,,63.1,73.7,546e20e6-87b6-4e0f-8fdb-fe813f67633b,,,,,,,,,,d0b234b9-cfdc-4073-bf2f-64d3ff64c8ef,,,,,,,
49caa8fd-a06b-4304-a0f6-9da6c4833d1f,811,1,00:17:17.364,17,17,17,Pressure,66,360,Rayo Vallecano,1,Regular Play,222,Villarreal,0.70119,,20d9a3bf-8e83-4ba1-ba26-c470940c234c,6752,Víctor Ruíz Torre,5,Left Center Back,57.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,546e20e6-87b6-4e0f-8fdb-fe813f67633b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546e20e6-87b6-4e0f-8fdb-fe813f67633b,812,1,00:17:17.936,17,17,30,Pass,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.153306,,49caa8fd-a06b-4304-a0f6-9da6c4833d1f,26685,Nicolás Ladislao Fedor Flores,24,Left Center Forward,63.1,73.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,de802d0d-6f5e-471d-a1da-70df2b317186,6713.0,Diego Javier Llorente Ríos,16.324827,-2.0207462,1.0,Ground Pass,56.0,59.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,
de802d0d-6f5e-471d-a1da-70df2b317186,813,1,00:17:19.090,17,19,42,Ball Receipt*,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,546e20e6-87b6-4e0f-8fdb-fe813f67633b,6713,Diego Javier Llorente Ríos,9,Right Defensive Midfield,56.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a32abdde-dfda-495b-a5d6-2c88d54f7701,814,1,00:17:19.090,17,19,43,Carry,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.30679,,30f6f55b-ff13-4a62-a513-cdbf7628fe4e,6713,Diego Javier Llorente Ríos,9,Right Defensive Midfield,56.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,de802d0d-6f5e-471d-a1da-70df2b317186,,,,,,,,,,,,,,56.0,57.4,,,,,,,,,,,,,,,,,,
30f6f55b-ff13-4a62-a513-cdbf7628fe4e,815,1,00:17:20.397,17,20,30,Pass,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,3.128939,,59370463-f5b1-42b1-bae1-858436e0819f,6713,Diego Javier Llorente Ríos,9,Right Defensive Midfield,56.0,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900.0,Tiago Manuel Dias Correia,59.856495,-0.9707461,3.0,High Pass,89.8,8.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,True
59370463-f5b1-42b1-bae1-858436e0819f,816,1,00:17:23.525,17,23,42,Ball Receipt*,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,30f6f55b-ff13-4a62-a513-cdbf7628fe4e,7900,Tiago Manuel Dias Correia,16,Left Midfield,89.8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72089f9c-76b2-43cf-b452-80a614caf7b5,817,1,00:17:23.525,17,23,43,Carry,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,3.941454,,59370463-f5b1-42b1-bae1-858436e0819f,7900,Tiago Manuel Dias Correia,16,Left Midfield,89.8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9f54e10d-889d-4c12-b990-aeaaf84bb35d,,,,,,,,,,,,,,109.0,22.9,,,,,,,,,,,,,,,,,,
9f54e10d-889d-4c12-b990-aeaaf84bb35d,818,1,00:17:27.467,17,27,30,Pass,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.803571,,4d61487f-22d8-40b8-bb3e-684c9287155f,7900,Tiago Manuel Dias Correia,16,Left Midfield,109.0,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26685.0,Nicolás Ladislao Fedor Flores,27.955143,1.1663742,3.0,High Pass,120.0,48.6,40.0,Right Foot,,,,,,,,75.0,Out,,,,,,,,,,,,,,
4d61487f-22d8-40b8-bb3e-684c9287155f,819,1,00:17:29.271,17,29,42,Ball Receipt*,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,9f54e10d-889d-4c12-b990-aeaaf84bb35d,26685,Nicolás Ladislao Fedor Flores,24,Left Center Forward,117.3,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,
