id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,under_pressure,ball_receipt,duel,off_camera,interception,out,clearance,shot,goalkeeper,counterpress,dribble,ball_recovery,foul_committed,foul_won,bad_behaviour,substitution,injury_stoppage,block,pass,related_events,pass_outcome_id,pass_outcome_name,related_events_1,carry_end_location_0,carry_end_location_1,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,pass_deflected,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,player,position,location,pass_switch,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name
f612ff3f-ab6e-4b8c-94d9-a5135b1992f5,1484,1,00:44:24.520,44,24,42,Ball Receipt*,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,9ce7d341-f7be-4249-9248-e83eb9396666,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,36.9,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bae4c84-921f-4e18-9e24-21cf33003848,1485,1,00:44:24.520,44,24,30,Pass,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.895462,,7222de90-2e09-4b46-959b-58a8093cd585,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,36.9,23.3,11298.0,José Ignacio Martínez García,19.615555,-0.7312994,1.0,Ground Pass,51.5,10.2,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7222de90-2e09-4b46-959b-58a8093cd585,1486,1,00:44:26.416,44,26,42,Ball Receipt*,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,9bae4c84-921f-4e18-9e24-21cf33003848,11298.0,José Ignacio Martínez García,6.0,Left Back,51.5,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25e91196-1dc8-4dcc-a473-4baf92bbcfb4,1487,1,00:44:26.416,44,26,30,Pass,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.502158,,6e97167b-08fb-4185-8d2f-497ab4db4787,11298.0,José Ignacio Martínez García,6.0,Left Back,51.5,10.2,26222.0,José Eduardo Rosa Vale de Castro,20.303694,2.6823504,1.0,Ground Pass,33.3,19.2,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e97167b-08fb-4185-8d2f-497ab4db4787,1488,1,00:44:27.918,44,27,42,Ball Receipt*,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,25e91196-1dc8-4dcc-a473-4baf92bbcfb4,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,33.3,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccb11ba3-1b41-419d-9669-9680a5e1f8db,1489,1,00:44:27.918,44,27,43,Carry,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.36,,6e97167b-08fb-4185-8d2f-497ab4db4787,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,33.3,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97b2fe54-008a-403b-9ed7-a33b8f39a3aa,30.6,21.0,,,,,,,,,,,,,,,,,,,,,,,
97b2fe54-008a-403b-9ed7-a33b8f39a3aa,1490,1,00:44:29.278,44,29,30,Pass,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.981649,,c7a8aa72-4cbf-49ed-afe8-dbc8405e3db7,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,30.6,21.0,11298.0,José Ignacio Martínez García,19.039433,0.23860933,1.0,Ground Pass,49.1,25.5,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7a8aa72-4cbf-49ed-afe8-dbc8405e3db7,1491,1,00:44:30.259,44,30,42,Ball Receipt*,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,97b2fe54-008a-403b-9ed7-a33b8f39a3aa,11298.0,José Ignacio Martínez García,6.0,Left Back,49.1,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174f85b8-006d-4b9e-bf99-372757040df2,1492,1,00:44:30.259,44,30,43,Carry,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.784705,,40ec71f1-20c2-40ab-9069-6fa9b74e58f2,11298.0,José Ignacio Martínez García,6.0,Left Back,49.1,25.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,75a1cc88-288f-4ea2-a00b-243bdd40c968,48.7,25.9,,,c7a8aa72-4cbf-49ed-afe8-dbc8405e3db7,,,,,,,,,,,,,,,,,,,,
40ec71f1-20c2-40ab-9069-6fa9b74e58f2,1493,1,00:44:30.551,44,30,17,Pressure,97,360,Rayo Vallecano,3,From Free Kick,220,Real Madrid,0.352709,,174f85b8-006d-4b9e-bf99-372757040df2,5574.0,Toni Kroos,10.0,Center Defensive Midfield,72.8,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
