id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,out,ball_receipt,off_camera,duel,clearance,counterpress,dribble,foul_committed,foul_won,interception,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,block,ball_recovery,substitution,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,related_events,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,pass_switch,pass_aerial_won,related_events_3,dribble_outcome_id,dribble_outcome_name,clearance_right_foot,foul_won_defensive,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,interception_outcome_id,interception_outcome_name
8f02c159-8486-4dcb-b00b-b4385374ff91,2270,2,00:15:23.082,60,23,30,Pass,134,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.797634,,924cb09c-3795-47a1-8061-4ac011bbd7d0,24138,Joaquín José Marín Ruiz,2,Right Back,83.4,80.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,26848.0,Roberto Trashorras Gayoso,6.61211,-1.6313283,2.0,Low Pass,83.0,73.4,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599e800a-7a01-4de1-946e-9d32dea069e6,2271,2,00:15:23.876,60,23,17,Pressure,134,360,Rayo Vallecano,4,From Throw In,217,Barcelona,0.677005,,83c86593-7af8-4d20-9bf6-cc900f9d69ce,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,32.0,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,924cb09c-3795-47a1-8061-4ac011bbd7d0,,,,,,,,,,,,,,,,d120a945-6d3e-4b98-b299-dd808f0ac0d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924cb09c-3795-47a1-8061-4ac011bbd7d0,2272,2,00:15:23.880,60,23,42,Ball Receipt*,134,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,599e800a-7a01-4de1-946e-9d32dea069e6,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,83.0,73.4,,,True,,,,,,,,,,,,,,,,,,,,,,,8f02c159-8486-4dcb-b00b-b4385374ff91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d120a945-6d3e-4b98-b299-dd808f0ac0d2,2273,2,00:15:23.880,60,23,43,Carry,134,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.496766,,599e800a-7a01-4de1-946e-9d32dea069e6,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,83.0,73.4,,,True,,,,,,,,,,,,,,,,,,,,,,,83c86593-7af8-4d20-9bf6-cc900f9d69ce,,,,,,,,,,,,,,82.4,72.0,924cb09c-3795-47a1-8061-4ac011bbd7d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83c86593-7af8-4d20-9bf6-cc900f9d69ce,2274,2,00:15:24.377,60,24,30,Pass,134,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.460779,,599e800a-7a01-4de1-946e-9d32dea069e6,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,82.4,72.0,,,True,,,,,,,,,,,,,,,,,,,,,,,611d03ce-b65c-46dd-aadd-59de931e12fc,11539.0,Adrián Embarba Blázquez,11.543396,0.6192424,2.0,Low Pass,91.8,78.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611d03ce-b65c-46dd-aadd-59de931e12fc,2275,2,00:15:24.838,60,24,42,Ball Receipt*,134,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,83c86593-7af8-4d20-9bf6-cc900f9d69ce,11539,Adrián Embarba Blázquez,17,Right Wing,91.8,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0cd2cf6-63ef-4c30-8716-a4f3d4e4c6cf,2276,2,00:15:24.838,60,24,43,Carry,134,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.633621,,611d03ce-b65c-46dd-aadd-59de931e12fc,11539,Adrián Embarba Blázquez,17,Right Wing,91.8,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,bb5a9258-95f4-4ef0-bc64-3d9c07988f74,,,,,,,,,,,,,,96.0,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb5a9258-95f4-4ef0-bc64-3d9c07988f74,2277,2,00:15:26.471,60,26,30,Pass,134,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.366022,,f7556bfc-c16b-4aaf-bb66-784fc40d49f1,11539,Adrián Embarba Blázquez,17,Right Wing,96.0,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,26848.0,Roberto Trashorras Gayoso,14.676852,-0.49717164,1.0,Ground Pass,108.9,71.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7556bfc-c16b-4aaf-bb66-784fc40d49f1,2278,2,00:15:27.837,60,27,42,Ball Receipt*,134,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,bb5a9258-95f4-4ef0-bc64-3d9c07988f74,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,108.9,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b625a1f-4db0-4ae5-aa4f-1d6e8dbb643d,2279,2,00:15:27.837,60,27,43,Carry,134,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,4.103178,,4046d1cc-dd5d-4c81-9c52-cb6c2c9dba0a,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,108.9,71.1,,,True,,,,,,,,,,,,,,,,,,,,,,,9b1c1f48-bd0c-4eb2-9e71-0898ecdedc73,,,,,,,,,,,,,,104.4,73.2,f7556bfc-c16b-4aaf-bb66-784fc40d49f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b1c1f48-bd0c-4eb2-9e71-0898ecdedc73,2280,2,00:15:28.096,60,28,17,Pressure,134,360,Rayo Vallecano,4,From Throw In,217,Barcelona,3.063723,,6b625a1f-4db0-4ae5-aa4f-1d6e8dbb643d,5506,Javier Alejandro Mascherano,5,Left Center Back,10.8,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4046d1cc-dd5d-4c81-9c52-cb6c2c9dba0a,2281,2,00:15:31.940,60,31,30,Pass,134,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,2.5265,,38dc5fb7-e8f7-4cf4-98be-7410ba3ee1fe,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,104.4,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,-1.5707964,3.0,High Pass,104.4,35.4,38.0,Left Foot,,,,,,,9.0,Incomplete,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
