id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,duel,off_camera,interception,out,clearance,shot,goalkeeper,counterpress,dribble,ball_recovery,foul_committed,foul_won,bad_behaviour,substitution,injury_stoppage,block,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,related_events_3,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events,ball_recovery_recovery_failure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,block_deflection
89c21952-7023-4a7c-8bb2-de82c12ccbc6,3217,2,00:40:09.164,85,9,17,Pressure,191,360,Rayo Vallecano,4,From Throw In,220,Real Madrid,0.09779,,,5574,Toni Kroos,10,Center Defensive Midfield,59.7,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb467316-90d9-4701-916e-53e7cc9bc7c0,3218,2,00:40:09.280,85,9,42,Ball Receipt*,191,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,a915e19f-8b08-4565-bdc7-1419864bd6b1,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,58.7,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0bffcbd3-62a8-44de-a02e-d5a24783045a,3219,2,00:40:09.280,85,9,43,Carry,191,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.037402,,51715e7e-5986-4770-b864-ae9ef2112bfd,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,58.7,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cb467316-90d9-4701-916e-53e7cc9bc7c0,58.5,68.6,,,,,,,,,,,,,,,,,,,,,,
51715e7e-5986-4770-b864-ae9ef2112bfd,3220,2,00:40:09.318,85,9,30,Pass,191,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.628911,,bc2da715-829f-4efb-a6a8-8cb9b7f66161,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,58.5,68.6,7900.0,Tiago Manuel Dias Correia,6.8541956,1.9756881,2.0,Low Pass,55.8,74.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381df923-f84c-40f3-923e-5ef1ed2a3b69,3221,2,00:40:09.700,85,9,17,Pressure,191,360,Rayo Vallecano,4,From Throw In,220,Real Madrid,0.57991,,37ebd3f2-57c5-48c8-be67-f5896dadf75e,5574,Toni Kroos,10,Center Defensive Midfield,63.3,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc2da715-829f-4efb-a6a8-8cb9b7f66161,,,,,,,,,,,,,,,,,,,,,,,,
bc2da715-829f-4efb-a6a8-8cb9b7f66161,3222,2,00:40:09.947,85,9,42,Ball Receipt*,191,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,381df923-f84c-40f3-923e-5ef1ed2a3b69,7900,Tiago Manuel Dias Correia,2,Right Back,55.8,74.9,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,51715e7e-5986-4770-b864-ae9ef2112bfd,,,,,,,,,,,,,,,,,,,,,,,,
37ebd3f2-57c5-48c8-be67-f5896dadf75e,3223,2,00:40:09.947,85,9,43,Carry,191,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.453679,,381df923-f84c-40f3-923e-5ef1ed2a3b69,7900,Tiago Manuel Dias Correia,2,Right Back,55.8,74.9,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,61d31d7e-ed63-41c7-8a48-285b47e44b74,55.3,75.3,bc2da715-829f-4efb-a6a8-8cb9b7f66161,,,,,,,,,,,,,,,,,,,,,
61d31d7e-ed63-41c7-8a48-285b47e44b74,3224,2,00:40:10.400,85,10,14,Dribble,191,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.0,,30cea459-c125-41d0-b1b2-7577359fb092,7900,Tiago Manuel Dias Correia,2,Right Back,55.3,75.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,
32d27f69-e465-425f-9d69-825b0a781673,3235,2,00:40:20.252,85,20,10,Interception,194,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,977063cf-c7be-4756-bd3b-90e1c0399ba1,27144,Antonio Amaya Carazo,5,Left Center Back,44.7,35.3,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,
0af5a944-7783-4056-9681-ece0dbefc5ab,3236,2,00:40:20.252,85,20,43,Carry,194,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,4.24151,,32d27f69-e465-425f-9d69-825b0a781673,27144,Antonio Amaya Carazo,5,Left Center Back,44.7,35.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,60d3de0c-092f-481f-8bd3-fffe3c0a8f7f,57.0,27.6,7dde564f-00b5-44a9-ad05-30e806a724c3,,,,,,,,,,,,,,,,,,,,,
