id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,related_events,off_camera,player,position,location,pass,carry,under_pressure,dribble,duel,ball_recovery,ball_receipt,clearance,out,foul_won,foul_committed,counterpress,interception,shot,goalkeeper,substitution,miscontrol,bad_behaviour,player_off,tactics,related_events_0,related_events_1,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location_0,carry_end_location_1,related_events_2,pass_switch,pass_cross,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,pass_aerial_won,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,related_events_3
de674f14-01d4-4850-8b1b-8152977f242a,101,1,00:02:13.966,2,13,42,Ball Receipt*,6,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fd36d46d-df87-4fa8-aea3-8b3c2715ceff,,26685.0,Nicolás Ladislao Fedor Flores,23.0,Center Forward,65.3,63.9,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,
1ab9d239-6c3c-4146-b979-eb0a0fa04d3b,102,1,00:02:13.966,2,13,4,Duel,6,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,5ab180bc-6620-4d2d-a16d-0e0c4dcae168,,26685.0,Nicolás Ladislao Fedor Flores,23.0,Center Forward,64.8,63.9,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,
5ab180bc-6620-4d2d-a16d-0e0c4dcae168,103,1,00:02:13.966,2,13,9,Clearance,6,360,Rayo Vallecano,3,From Free Kick,213,Sevilla,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,1ab9d239-6c3c-4146-b979-eb0a0fa04d3b,fd36d46d-df87-4fa8-aea3-8b3c2715ceff,27483.0,Benoît Trémoulinas,6.0,Left Back,55.3,16.2,,,,,,,,,,,,,,,,,,,,,,,,37.0,Head,True,True,,,,,,,,,,
e23b25fa-4a79-455f-991a-4903e0de93f7,104,1,00:02:15.219,2,15,17,Pressure,6,360,Rayo Vallecano,3,From Free Kick,213,Sevilla,0.911891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9cffbcbc-d5ad-43d4-a64d-1f05d69b819e,c0c44819-026b-42b9-8d91-b27b31c6d839,7154.0,Sebastián Carlos Cristóforo Pepe,9.0,Right Defensive Midfield,57.0,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cffbcbc-d5ad-43d4-a64d-1f05d69b819e,105,1,00:02:15.826,2,15,2,Ball Recovery,6,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,e23b25fa-4a79-455f-991a-4903e0de93f7,,26607.0,José Raúl Baena Urdiales,9.0,Right Defensive Midfield,62.8,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0c44819-026b-42b9-8d91-b27b31c6d839,106,1,00:02:15.826,2,15,43,Carry,6,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.004874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,8ea83597-15f9-4ee9-9425-5ea3e6afd71d,9cffbcbc-d5ad-43d4-a64d-1f05d69b819e,26607.0,José Raúl Baena Urdiales,9.0,Right Defensive Midfield,62.8,69.9,,,,,,,,,,,,,62.0,76.3,e23b25fa-4a79-455f-991a-4903e0de93f7,,,,,,,,,,,,,,,,,,,,,,
8ea83597-15f9-4ee9-9425-5ea3e6afd71d,107,1,00:02:16.831,2,16,30,Pass,6,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,3.303527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9a7e4f4c-55cf-4295-bbed-d26763ba7ed1,fb2a96d2-d7a8-4117-9113-5fa3596bf89f,26607.0,José Raúl Baena Urdiales,9.0,Right Defensive Midfield,62.0,76.3,6852.0,Jozabed Sánchez Ruiz,39.74582,-0.72309035,3.0,High Pass,91.8,50.0,40.0,Right Foot,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,
fb2a96d2-d7a8-4117-9113-5fa3596bf89f,108,1,00:02:20.135,2,20,42,Ball Receipt*,6,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8ea83597-15f9-4ee9-9425-5ea3e6afd71d,,6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,88.2,52.0,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,
4edbb21e-b99a-41a2-b4c3-97681d6b533d,109,1,00:02:20.135,2,20,4,Duel,6,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,9a7e4f4c-55cf-4295-bbed-d26763ba7ed1,,6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,91.8,50.0,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,
9a7e4f4c-55cf-4295-bbed-d26763ba7ed1,110,1,00:02:20.135,2,20,30,Pass,6,360,Rayo Vallecano,3,From Free Kick,213,Sevilla,1.998715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,2a3ae20a-05e0-438b-abb6-51e695fa899c,4edbb21e-b99a-41a2-b4c3-97681d6b533d,3253.0,Adil Rami,3.0,Right Center Back,28.3,30.1,27483.0,Benoît Trémoulinas,20.540936,-1.2074673,3.0,High Pass,35.6,10.9,,,66.0,Recovery,,,8ea83597-15f9-4ee9-9425-5ea3e6afd71d,,,,,,,,,,,,,True,,,,,,,,,
