IdFiles,ScoringTeam,Score,NoInformation,passes,completePasses,incompletePasses,minutes
66_5,,NF,NF,47.0,42.0,5.0,7.0
72_1,Barcelona,1_0,,70.0,63.0,7.0,8.0
72_2,Barcelona,2_0,,87.0,80.0,7.0,11.0
72_3,Barcelona,3_0,,89.0,82.0,7.0,12.0
72_4,Barcelona,4_0,,94.0,87.0,7.0,8.0
72_5,Barcelona,5_0,,69.0,64.0,5.0,10.0
72_6,Barcelona,6_0,,38.0,34.0,4.0,6.0
72_7,,NF,NF,239.0,227.0,12.0,35.0
80_1,Barcelona,1_0,,152.0,137.0,15.0,20.0
80_2,Barcelona,2_0,,161.0,151.0,10.0,19.0
80_3,Villarreal,2_1,,152.0,143.0,9.0,16.0
80_4,Villarreal,2_2,,21.0,19.0,2.0,5.0
80_5,,NF,NF,204.0,181.0,23.0,31.0
93_1,Barcelona,1_0,,409.0,383.0,26.0,56.0
93_2,Real Madrid,1_1,,58.0,53.0,5.0,5.0
93_3,Real Madrid,1_2,,182.0,171.0,11.0,23.0
93_4,,NF,NF,48.0,43.0,5.0,8.0
9_1,Barcelona,1_0,,72.0,61.0,11.0,8.0
9_2,Barcelona,2_0,,41.0,34.0,7.0,6.0
9_3,Barcelona,3_0,,286.0,251.0,35.0,43.0
9_4,Barcelona,4_0,,249.0,224.0,25.0,24.0
9_5,,NF,NF,34.0,31.0,3.0,6.0
